"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C02_001E","S2801_C02_001M","S2801_C01_002E","S2801_C01_002M","S2801_C02_002E","S2801_C02_002M","S2801_C01_003E","S2801_C01_003M","S2801_C02_003E","S2801_C02_003M","S2801_C01_004E","S2801_C01_004M","S2801_C02_004E","S2801_C02_004M","S2801_C01_005E","S2801_C01_005M","S2801_C02_005E","S2801_C02_005M","S2801_C01_006E","S2801_C01_006M","S2801_C02_006E","S2801_C02_006M","S2801_C01_007E","S2801_C01_007M","S2801_C02_007E","S2801_C02_007M","S2801_C01_008E","S2801_C01_008M","S2801_C02_008E","S2801_C02_008M","S2801_C01_009E","S2801_C01_009M","S2801_C02_009E","S2801_C02_009M","S2801_C01_010E","S2801_C01_010M","S2801_C02_010E","S2801_C02_010M","S2801_C01_011E","S2801_C01_011M","S2801_C02_011E","S2801_C02_011M","S2801_C01_012E","S2801_C01_012M","S2801_C02_012E","S2801_C02_012M","S2801_C01_013E","S2801_C01_013M","S2801_C02_013E","S2801_C02_013M","S2801_C01_014E","S2801_C01_014M","S2801_C02_014E","S2801_C02_014M","S2801_C01_015E","S2801_C01_015M","S2801_C02_015E","S2801_C02_015M","S2801_C01_016E","S2801_C01_016M","S2801_C02_016E","S2801_C02_016M","S2801_C01_017E","S2801_C01_017M","S2801_C02_017E","S2801_C02_017M","S2801_C01_018E","S2801_C01_018M","S2801_C02_018E","S2801_C02_018M","S2801_C01_019E","S2801_C01_019M","S2801_C02_019E","S2801_C02_019M","S2801_C01_020E","S2801_C01_020M","S2801_C02_020E","S2801_C02_020M","S2801_C01_021E","S2801_C01_021M","S2801_C02_021E","S2801_C02_021M","S2801_C01_022E","S2801_C01_022M","S2801_C02_022E","S2801_C02_022M","S2801_C01_023E","S2801_C01_023M","S2801_C02_023E","S2801_C02_023M","S2801_C01_024E","S2801_C01_024M","S2801_C02_024E","S2801_C02_024M","S2801_C01_025E","S2801_C01_025M","S2801_C02_025E","S2801_C02_025M","S2801_C01_026E","S2801_C01_026M","S2801_C02_026E","S2801_C02_026M","S2801_C01_027E","S2801_C01_027M","S2801_C02_027E","S2801_C02_027M","S2801_C01_028E","S2801_C01_028M","S2801_C02_028E","S2801_C02_028M","S2801_C01_029E","S2801_C01_029M","S2801_C02_029E","S2801_C02_029M","S2801_C01_030E","S2801_C01_030M","S2801_C02_030E","S2801_C02_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_031E","S2801_C02_031M"
"id","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total MOE!!Total households","Estimate!!Percent!!Total households","Margin of Error!!Percent MOE!!Total households","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription"
"0500000US01117","Shelby County, Alabama","80944","1588","(X)","(X)","77041","1777","95.2","1.3","65403","2147","80.8","2.1","1715","578","2.1","0.7","73297","1895","90.6","1.5","6998","1262","8.6","1.6","58702","2152","72.5","2.4","444","284","0.5","0.3","3310","1226","4.1","1.5","0","201","0.0","0.2","3903","1037","4.8","1.3","72931","1947","90.1","1.7","85","89","0.1","0.1","72846","1949","90.0","1.7","67228","2167","83.1","2.1","8082","1719","10.0","2.1","61981","2384","76.6","2.7","7284","1259","9.0","1.6","8013","1358","9.9","1.7","9901","1639","(X)","(X)","42","72","0.4","0.7","6291","1336","63.5","7.0","3568","827","36.0","6.9","31724","2207","(X)","(X)","43","52","0.1","0.2","27899","2298","87.9","2.9","3782","896","11.9","2.9","39319","2262","(X)","(X)","0","201","0.0","0.4","38656","2313","98.3","1.0","663","386","1.7","1.0"
"0500000US01121","Talladega County, Alabama","31219","1460","(X)","(X)","26614","1675","85.2","3.6","20191","1735","64.7","4.8","1601","548","5.1","1.7","24141","1702","77.3","3.9","3832","1168","12.3","3.6","17586","1705","56.3","5.0","361","193","1.2","0.6","298","261","1.0","0.8","0","201","0.0","0.5","4605","1156","14.8","3.6","25474","1704","81.6","3.8","78","99","0.2","0.3","25396","1701","81.3","3.7","22188","1578","71.1","4.1","4895","1040","15.7","3.3","17822","1458","57.1","3.8","4161","968","13.3","3.0","5745","1197","18.4","3.8","8870","1435","(X)","(X)","0","201","0.0","1.9","5610","1180","63.2","9.3","3260","1010","36.8","9.3","14504","1692","(X)","(X)","78","99","0.5","0.7","12394","1668","85.5","3.7","2032","554","14.0","3.9","7845","1246","(X)","(X)","0","201","0.0","2.1","7392","1147","94.2","3.6","453","312","5.8","3.6"
"0500000US01125","Tuscaloosa County, Alabama","74053","2334","(X)","(X)","66782","2497","90.2","1.7","51504","2580","69.6","2.8","2904","1020","3.9","1.4","62290","2582","84.1","2.1","10249","1952","13.8","2.6","41261","2678","55.7","3.6","794","529","1.1","0.7","2049","702","2.8","0.9","0","201","0.0","0.2","7271","1232","9.8","1.7","60987","2385","82.4","2.0","332","354","0.4","0.5","60655","2406","81.9","2.1","56925","2492","76.9","2.3","10209","1882","13.8","2.5","47731","2671","64.5","3.1","6539","1243","8.8","1.6","13066","1525","17.6","2.0","14131","2060","(X)","(X)","51","94","0.4","0.7","9227","1693","65.3","7.4","4853","1260","34.3","7.4","33123","2842","(X)","(X)","95","168","0.3","0.5","26329","2487","79.5","3.5","6699","1288","20.2","3.4","26799","2409","(X)","(X)","186","308","0.7","1.1","25099","2241","93.7","2.3","1514","596","5.6","2.1"
"0500000US04021","Pinal County, Arizona","147936","3458","(X)","(X)","138369","3397","93.5","1.1","121272","3395","82.0","1.5","6354","1429","4.3","1.0","126346","3750","85.4","1.5","9748","1782","6.6","1.2","100798","4080","68.1","2.0","1281","578","0.9","0.4","4898","1222","3.3","0.8","0","211","0.0","0.1","9567","1604","6.5","1.1","128637","3274","87.0","1.1","357","256","0.2","0.2","128280","3295","86.7","1.1","109149","3608","73.8","1.7","16007","1985","10.8","1.3","99787","3756","67.5","1.9","19343","1895","13.1","1.3","19299","1779","13.0","1.1","17619","2329","(X)","(X)","17","29","0.1","0.2","11492","1787","65.2","6.2","6110","1414","34.7","6.2","76880","3823","(X)","(X)","309","248","0.4","0.3","65032","3503","84.6","2.1","11539","1777","15.0","2.1","53437","3002","(X)","(X)","31","51","0.1","0.1","51756","3085","96.9","1.1","1650","592","3.1","1.1"
"0500000US06045","Mendocino County, California","33794","1416","(X)","(X)","30311","1714","89.7","3.0","25288","1864","74.8","4.0","2502","761","7.4","2.2","26386","1592","78.1","3.4","2738","787","8.1","2.3","17844","1678","52.8","4.8","365","286","1.1","0.9","453","430","1.3","1.3","0","211","0.0","0.5","3483","1017","10.3","3.0","28824","1499","85.3","2.6","203","203","0.6","0.6","28621","1497","84.7","2.6","24622","1594","72.9","3.3","4328","1158","12.8","3.4","20056","1793","59.3","4.7","5192","1067","15.4","3.2","4970","914","14.7","2.6","6410","1262","(X)","(X)","75","131","1.2","2.1","4864","1137","75.9","10.5","1471","758","22.9","10.6","17070","1717","(X)","(X)","128","156","0.7","0.9","14089","1680","82.5","4.2","2853","713","16.7","4.1","10314","1464","(X)","(X)","0","211","0.0","1.8","9668","1473","93.7","3.5","646","359","6.3","3.5"
"0500000US06059","Orange County, California","1040394","5391","(X)","(X)","1000857","5496","96.2","0.3","909008","7233","87.4","0.6","28913","2193","2.8","0.2","948574","6440","91.2","0.4","52025","4642","5.0","0.4","754819","7324","72.6","0.6","5839","999","0.6","0.1","35868","2615","3.4","0.3","45","76","0.0","0.1","39537","3465","3.8","0.3","959705","6261","92.2","0.4","1581","613","0.2","0.1","958124","6237","92.1","0.4","884137","7357","85.0","0.6","102469","5086","9.8","0.5","828223","7851","79.6","0.6","82671","4252","7.9","0.4","80689","4576","7.8","0.4","101943","5262","(X)","(X)","270","241","0.3","0.2","77293","4248","75.8","2.3","24380","2782","23.9","2.2","338387","8407","(X)","(X)","967","487","0.3","0.1","300350","7930","88.8","0.8","37070","3062","11.0","0.9","600064","9315","(X)","(X)","344","249","0.1","0.1","580481","9419","96.7","0.4","19239","2383","3.2","0.4"
"0500000US06067","Sacramento County, California","543560","3122","(X)","(X)","518300","3773","95.4","0.4","458995","5196","84.4","0.8","17987","1974","3.3","0.4","487567","4125","89.7","0.6","36421","3511","6.7","0.6","374655","5393","68.9","1.0","3158","660","0.6","0.1","27046","2859","5.0","0.5","151","157","0.0","0.1","25260","2238","4.6","0.4","493010","3936","90.7","0.5","1204","437","0.2","0.1","491806","3920","90.5","0.5","449965","4685","82.8","0.7","51630","3896","9.5","0.7","422777","4869","77.8","0.9","46427","3516","8.5","0.6","50550","2879","9.3","0.5","73536","4450","(X)","(X)","502","255","0.7","0.3","53805","3729","73.2","2.3","19229","2005","26.1","2.3","217228","5181","(X)","(X)","422","224","0.2","0.1","194233","4993","89.4","0.9","22573","2100","10.4","0.9","252796","5854","(X)","(X)","280","203","0.1","0.1","243768","5702","96.4","0.6","8748","1495","3.5","0.6"
"0500000US12017","Citrus County, Florida","62293","2908","(X)","(X)","57105","3166","91.7","2.1","48393","3075","77.7","3.5","7108","1496","11.4","2.4","46134","3208","74.1","3.1","4682","1448","7.5","2.2","35198","2758","56.5","3.5","1189","603","1.9","1.0","1125","481","1.8","0.8","0","229","0.0","0.3","5188","1260","8.3","2.1","51502","3204","82.7","3.1","46","79","0.1","0.1","51456","3213","82.6","3.1","42398","2916","68.1","3.2","4695","1111","7.5","1.7","44660","3036","71.7","3.4","3350","916","5.4","1.4","10791","1986","17.3","3.1","14136","2101","(X)","(X)","46","79","0.3","0.6","8903","1503","63.0","7.8","5187","1519","36.7","7.9","36431","2415","(X)","(X)","0","229","0.0","0.6","31435","2597","86.3","3.7","4996","1355","13.7","3.7","11726","1869","(X)","(X)","0","229","0.0","1.8","11118","1880","94.8","3.5","608","412","5.2","3.5"
"0500000US17143","Peoria County, Illinois","71506","1717","(X)","(X)","64925","2017","90.8","1.6","51696","2209","72.3","2.7","2156","630","3.0","0.9","60531","2238","84.7","1.9","9581","1521","13.4","2.1","41118","2314","57.5","2.9","487","249","0.7","0.4","1386","415","1.9","0.6","0","190","0.0","0.2","6581","1156","9.2","1.6","59338","2084","83.0","2.2","190","155","0.3","0.2","59148","2114","82.7","2.2","44164","2417","61.8","2.8","8933","1367","12.5","1.8","48238","2151","67.5","2.7","4144","1014","5.8","1.4","12168","1589","17.0","2.2","13621","1696","(X)","(X)","12","20","0.1","0.1","7739","1116","56.8","6.2","5870","1245","43.1","6.2","32718","1932","(X)","(X)","151","150","0.5","0.5","28285","1797","86.5","2.6","4282","919","13.1","2.6","25167","1795","(X)","(X)","27","45","0.1","0.2","23124","1741","91.9","3.1","2016","798","8.0","3.0"
