Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
215707,0500000US01117,"Shelby County, Alabama",27851,8875,48670,17648,84457,173097,167037,159267,47098,40234,33295,12943,14383,4671,25382,8406,41853,82479,79640,75887,21899,18261,14806,5271,13468,4204,23288,9242,42604,90618,87397,83380,25199,21973,18489,7672
79828,0500000US01121,"Talladega County, Alabama",9417,3143,16810,6743,29767,65419,63018,59459,20479,18090,14422,5665,4665,1418,8292,3236,14605,31189,30197,28842,8991,8219,6558,2343,4752,1725,8518,3507,15162,34230,32821,30617,11488,9871,7864,3322
208911,0500000US01125,"Tuscaloosa County, Alabama",24180,8023,43992,34257,98404,170265,164919,144589,39432,34686,27472,10661,11739,3975,21652,16487,47808,80653,77924,68844,18110,15648,11969,4098,12441,4048,22340,17770,50596,89612,86995,75745,21322,19038,15503,6563
447138,0500000US04021,"Pinal County, Arizona",59282,16685,101143,36982,169127,356563,345995,329577,118634,107624,90825,35819,30310,8589,52140,21321,94171,187209,181152,170711,56331,50694,43946,18040,28972,8096,49003,15661,74956,169354,164843,158866,62303,56930,46879,17779
87606,0500000US06045,"Mendocino County, California",10576,2870,18535,7686,29380,71461,69071,65738,25968,23698,19072,6752,5290,1457,9033,3363,15460,35261,33984,32408,12178,10907,8725,2825,5286,1413,9502,4323,13920,36200,35087,33330,13790,12791,10347,3927
3185968,0500000US06059,"Orange County, California",387972,123390,698786,292584,1289143,2571255,2487182,2360656,659502,571458,471226,204692,198857,63093,357863,148522,652305,1257540,1215326,1149117,300043,258277,208991,85637,189115,60297,340923,144062,636838,1313715,1271856,1211539,359459,313181,262235,119055
1540975,0500000US06067,"Sacramento County, California",204555,60502,363911,131837,639598,1215153,1177064,1124904,310577,272495,217444,89212,104885,30680,185405,67423,321026,587449,567437,540893,138464,119253,93987,35931,99670,29822,178506,64414,318572,627704,609627,584011,172113,153242,123457,53281
147929,0500000US12017,"Citrus County, Florida",12148,4048,21949,7881,35536,128567,125980,122094,68279,63023,53832,24373,6193,2019,10741,4538,18437,62751,61363,58951,32959,30451,26184,11726,5955,2029,11208,3343,17099,65816,64617,63143,35320,32572,27648,12647
180621,0500000US17143,"Peoria County, Illinois",23035,7105,42559,16493,69459,143086,138062,130568,42897,38411,30201,12751,11906,3501,21480,8400,34723,68927,66338,62267,19618,17379,13125,5142,11129,3604,21079,8093,34736,74159,71724,68301,23279,21032,17076,7609
76351,0500000US18059,"Hancock County, Indiana",10228,2964,17780,5345,27910,60569,58571,56690,17026,14743,12948,4843,5033,1515,8866,2783,13721,29414,28535,27477,8040,6938,6304,2066,5195,1449,8914,2562,14189,31155,30036,29213,8986,7805,6644,2777
82366,0500000US18067,"Howard County, Indiana",10586,3000,18632,6179,28970,65655,63734,61531,21163,18961,15917,6903,5518,1512,9553,3058,14180,31047,30122,29096,9393,8136,6965,2907,5068,1488,9079,3121,14790,34608,33612,32435,11770,10825,8952,3996
