id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US01117,"Shelby County, Alabama",80944,73297,0.9055272781182052
0500000US01121,"Talladega County, Alabama",31219,24141,0.7732790928601172
0500000US01125,"Tuscaloosa County, Alabama",74053,62290,0.84115430840074
0500000US04021,"Pinal County, Arizona",147936,126346,0.8540585117888817
0500000US06045,"Mendocino County, California",33794,26386,0.7807894892584483
0500000US06059,"Orange County, California",1040394,948574,0.9117449735388709
0500000US06067,"Sacramento County, California",543560,487567,0.8969883729487085
0500000US12017,"Citrus County, Florida",62293,46134,0.7405968567896875
0500000US17143,"Peoria County, Illinois",71506,60531,0.846516376248147
0500000US18059,"Hancock County, Indiana",29605,25468,0.8602600912008107
0500000US18067,"Howard County, Indiana",35139,29459,0.8383562423518028
0500000US22105,"Tangipahoa Parish, Louisiana",47401,38276,0.8074935127950887
0500000US25003,"Berkshire County, Massachusetts",55212,41807,0.757208577845396
0500000US27139,"Scott County, Minnesota",50040,45646,0.9121902478017586
0500000US36087,"Rockland County, New York",99502,78850,0.7924463829872767
0500000US36105,"Sullivan County, New York",28900,22384,0.7745328719723183
0500000US37037,"Chatham County, North Carolina",28343,23074,0.8140987192604876
0500000US37085,"Harnett County, North Carolina",46015,39966,0.8685428664565903
0500000US37195,"Wilson County, North Carolina",31817,23825,0.7488135273595876
0500000US39007,"Ashtabula County, Ohio",35445,25076,0.7074622654817323
0500000US39013,"Belmont County, Ohio",24742,18098,0.7314687575782071
0500000US40031,"Comanche County, Oklahoma",42489,37018,0.8712372614088352
0500000US42013,"Blair County, Pennsylvania",51096,38250,0.7485908877407234
0500000US42039,"Crawford County, Pennsylvania",34386,24617,0.7159018205083464
0500000US42051,"Fayette County, Pennsylvania",56085,40673,0.7252028171525363
0500000US47113,"Madison County, Tennessee",39223,31634,0.8065165846569615
0500000US48027,"Bell County, Texas",123188,101955,0.8276374322174238
0500000US48061,"Cameron County, Texas",124812,97246,0.7791398262987533
0500000US49057,"Weber County, Utah",85615,77140,0.9010103369736612
0500000US51165,"Rockingham County, Virginia",31462,24643,0.7832623482296103
0500000US51700,"Newport News city, Virginia",71291,58328,0.8181677911657853
0500000US51710,"Norfolk city, Virginia",89338,78112,0.8743423850992859
0500000US51810,"Virginia Beach city, Virginia",172183,155953,0.9057398233275062
0500000US53007,"Chelan County, Washington",31587,26887,0.8512046094912464
0500000US01015,"Calhoun County, Alabama",44264,32921,0.7437420928971625
0500000US08005,"Arapahoe County, Colorado",242141,216878,0.895668226363978
0500000US13013,"Barrow County, Georgia",27525,24081,0.8748773841961853
0500000US13157,"Jackson County, Georgia",23640,20611,0.8718697123519459
0500000US13245,"Richmond County, Georgia",70534,57371,0.8133807808999914
0500000US13285,"Troup County, Georgia",25417,20659,0.8128024550497699
0500000US19061,"Dubuque County, Iowa",38501,30210,0.7846549440274279
0500000US21227,"Warren County, Kentucky",48843,41673,0.8532031202014618
0500000US27019,"Carver County, Minnesota",36925,33439,0.9055924170616114
0500000US28075,"Lauderdale County, Mississippi",29993,24254,0.8086553529156804
0500000US28081,"Lee County, Mississippi",32527,25990,0.799028499400498
0500000US28121,"Rankin County, Mississippi",55483,48399,0.8723212515545302
0500000US36111,"Ulster County, New York",69154,56967,0.823770136217717
0500000US37183,"Wake County, North Carolina",408473,378430,0.9264504630661022
0500000US39093,"Lorain County, Ohio",121344,98715,0.8135136471518988
0500000US40119,"Payne County, Oklahoma",30734,26683,0.8681915793583653
0500000US40131,"Rogers County, Oklahoma",35254,31096,0.88205593691496
0500000US42081,"Lycoming County, Pennsylvania",44585,32546,0.7299764494785241
0500000US45015,"Berkeley County, South Carolina",78168,66474,0.8503991403131717
0500000US45085,"Sumter County, South Carolina",40396,32888,0.8141400138627587
0500000US47147,"Robertson County, Tennessee",26375,23395,0.8870142180094787
0500000US48085,"Collin County, Texas",344824,327545,0.9498903788599401
0500000US49045,"Tooele County, Utah",20411,18039,0.8837881534466709
0500000US53041,"Lewis County, Washington",30327,24667,0.8133676262076698
0500000US53053,"Pierce County, Washington",328519,290850,0.8853369211522012
0500000US54061,"Monongalia County, West Virginia",40603,35329,0.8701081200896486
0500000US55009,"Brown County, Wisconsin",104470,85302,0.8165214894228008
0500000US06115,"Yuba County, California",26191,20364,0.777518995074644
