id,FIPS code,State Abr.,County name,CBSA title,CBSA 2012 pop,County 2012 pop,2013 code,2006 code,1990-based code,type_2013
0500000US01001,1001,AL,Autauga County,"Montgomery, AL",377149,55514,3,3,3,Medium metro
0500000US01003,1003,AL,Baldwin County,"Daphne-Fairhope-Foley, AL",190790,190790,4,5,3,Small metro
0500000US01005,1005,AL,Barbour County,,.,27201,6,5,5,Noncore
0500000US01007,1007,AL,Bibb County,"Birmingham-Hoover, AL",1136650,22597,2,2,6,Large fringe metro
0500000US01009,1009,AL,Blount County,"Birmingham-Hoover, AL",1136650,57826,2,2,3,Large fringe metro
0500000US01011,1011,AL,Bullock County,,.,10474,6,6,6,Noncore
0500000US01013,1013,AL,Butler County,,.,20307,6,6,6,Noncore
0500000US01015,1015,AL,Calhoun County,"Anniston-Oxford-Jacksonville, AL",117296,117296,4,4,4,Small metro
0500000US01017,1017,AL,Chambers County,"Valley, AL",34064,34064,5,5,6,Micropolitan
0500000US01019,1019,AL,Cherokee County,,.,26021,6,6,6,Noncore
0500000US01021,1021,AL,Chilton County,"Birmingham-Hoover, AL",1136650,43819,2,2,6,Large fringe metro
0500000US01023,1023,AL,Choctaw County,,.,13633,6,6,6,Noncore
0500000US01025,1025,AL,Clarke County,,.,25161,6,6,6,Noncore
0500000US01027,1027,AL,Clay County,,.,13435,6,6,6,Noncore
0500000US01029,1029,AL,Cleburne County,,.,14832,6,6,6,Noncore
0500000US01031,1031,AL,Coffee County,"Enterprise, AL",51252,51252,5,5,5,Micropolitan
0500000US01033,1033,AL,Colbert County,"Florence-Muscle Shoals, AL",146988,54446,4,4,4,Small metro
0500000US01035,1035,AL,Conecuh County,,.,12981,6,6,6,Noncore
0500000US01037,1037,AL,Coosa County,"Talladega-Sylacauga, AL",92728,10966,5,5,6,Micropolitan
0500000US01039,1039,AL,Covington County,,.,37955,6,6,6,Noncore
0500000US01041,1041,AL,Crenshaw County,,.,14083,6,6,6,Noncore
0500000US01043,1043,AL,Cullman County,"Cullman, AL",80440,80440,5,5,5,Micropolitan
0500000US01045,1045,AL,Dale County,"Ozark, AL",50444,50444,5,5,4,Micropolitan
0500000US01047,1047,AL,Dallas County,"Selma, AL",42864,42864,5,5,5,Micropolitan
0500000US01049,1049,AL,DeKalb County,,.,71080,6,5,5,Noncore
0500000US01051,1051,AL,Elmore County,"Montgomery, AL",377149,80629,3,3,3,Medium metro
0500000US01053,1053,AL,Escambia County,,.,37994,6,6,6,Noncore
0500000US01055,1055,AL,Etowah County,"Gadsden, AL",104392,104392,4,4,4,Small metro
0500000US01057,1057,AL,Fayette County,,.,16983,6,6,6,Noncore
0500000US01059,1059,AL,Franklin County,,.,31761,6,6,6,Noncore
0500000US01061,1061,AL,Geneva County,"Dothan, AL",147620,26931,4,4,6,Small metro
0500000US01063,1063,AL,Greene County,,.,8876,6,4,6,Noncore
0500000US01065,1065,AL,Hale County,"Tuscaloosa, AL",233389,15388,4,4,6,Small metro
0500000US01067,1067,AL,Henry County,"Dothan, AL",147620,17287,4,4,6,Small metro
0500000US01069,1069,AL,Houston County,"Dothan, AL",147620,103402,4,4,4,Small metro
0500000US01071,1071,AL,Jackson County,"Scottsboro, AL",53019,53019,5,5,5,Micropolitan
0500000US01073,1073,AL,Jefferson County,"Birmingham-Hoover, AL",1136650,660009,1,1,3,Large central metro
0500000US01075,1075,AL,Lamar County,,.,14259,6,6,6,Noncore
0500000US01077,1077,AL,Lauderdale County,"Florence-Muscle Shoals, AL",146988,92542,4,4,4,Small metro
0500000US01079,1079,AL,Lawrence County,"Decatur, AL",154233,33838,4,4,4,Small metro
0500000US01081,1081,AL,Lee County,"Auburn-Opelika, AL",147257,147257,4,4,5,Small metro
0500000US01083,1083,AL,Limestone County,"Huntsville, AL",430734,87654,3,3,3,Medium metro
0500000US01085,1085,AL,Lowndes County,"Montgomery, AL",377149,10857,3,3,6,Medium metro
0500000US01087,1087,AL,Macon County,,.,20535,6,5,5,Noncore
0500000US01089,1089,AL,Madison County,"Huntsville, AL",430734,343080,3,3,3,Medium metro
0500000US01091,1091,AL,Marengo County,,.,20401,6,6,6,Noncore
0500000US01093,1093,AL,Marion County,,.,30327,6,6,6,Noncore
0500000US01095,1095,AL,Marshall County,"Albertville, AL",94776,94776,5,5,5,Micropolitan
0500000US01097,1097,AL,Mobile County,"Mobile, AL",413936,413936,3,3,3,Medium metro
0500000US01099,1099,AL,Monroe County,,.,22602,6,6,6,Noncore
0500000US01101,1101,AL,Montgomery County,"Montgomery, AL",377149,230149,3,3,3,Medium metro
0500000US01103,1103,AL,Morgan County,"Decatur, AL",154233,120395,4,4,4,Small metro
0500000US01105,1105,AL,Perry County,,.,10181,6,6,6,Noncore
0500000US01107,1107,AL,Pickens County,"Tuscaloosa, AL",233389,19405,4,6,6,Small metro
0500000US01109,1109,AL,Pike County,"Troy, AL",33182,33182,5,5,5,Micropolitan
0500000US01111,1111,AL,Randolph County,,.,22675,6,6,6,Noncore
0500000US01113,1113,AL,Russell County,"Columbus, GA-AL",310531,57820,3,3,3,Medium metro
0500000US01115,1115,AL,St. Clair County,"Birmingham-Hoover, AL",1136650,85237,2,2,3,Large fringe metro
0500000US01117,1117,AL,Shelby County,"Birmingham-Hoover, AL",1136650,200941,2,2,3,Large fringe metro
0500000US01119,1119,AL,Sumter County,,.,13427,6,6,6,Noncore
0500000US01121,1121,AL,Talladega County,"Talladega-Sylacauga, AL",92728,81762,5,5,5,Micropolitan
0500000US01123,1123,AL,Tallapoosa County,,.,41168,6,5,5,Noncore
