id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US01117,"Shelby County, Alabama",13468,4204,23288,9242,42604,90618,87397,83380,25199,21973,18489,7672
0500000US01121,"Talladega County, Alabama",4752,1725,8518,3507,15162,34230,32821,30617,11488,9871,7864,3322
0500000US01125,"Tuscaloosa County, Alabama",12441,4048,22340,17770,50596,89612,86995,75745,21322,19038,15503,6563
0500000US04021,"Pinal County, Arizona",28972,8096,49003,15661,74956,169354,164843,158866,62303,56930,46879,17779
0500000US06045,"Mendocino County, California",5286,1413,9502,4323,13920,36200,35087,33330,13790,12791,10347,3927
0500000US06059,"Orange County, California",189115,60297,340923,144062,636838,1313715,1271856,1211539,359459,313181,262235,119055
0500000US06067,"Sacramento County, California",99670,29822,178506,64414,318572,627704,609627,584011,172113,153242,123457,53281
0500000US12017,"Citrus County, Florida",5955,2029,11208,3343,17099,65816,64617,63143,35320,32572,27648,12647
0500000US17143,"Peoria County, Illinois",11129,3604,21079,8093,34736,74159,71724,68301,23279,21032,17076,7609
0500000US18059,"Hancock County, Indiana",5195,1449,8914,2562,14189,31155,30036,29213,8986,7805,6644,2777
0500000US18067,"Howard County, Indiana",5068,1488,9079,3121,14790,34608,33612,32435,11770,10825,8952,3996
0500000US22105,"Tangipahoa Parish, Louisiana",8667,2407,15951,7360,27726,54321,52675,48208,14965,13156,10682,4168
0500000US25003,"Berkshire County, Massachusetts",5705,2193,10151,5940,21342,56285,54698,51832,21969,20098,16474,7528
0500000US27139,"Scott County, Minnesota",11838,3500,19982,5680,29839,57029,54847,52302,13423,12046,8841,3632
0500000US36087,"Rockland County, New York",24550,6744,44500,14838,57750,124931,120965,115121,39305,35422,29136,14071
0500000US36105,"Sullivan County, New York",4286,1197,7696,2660,12141,29936,28944,27415,9879,9187,7116,3294
0500000US37037,"Chatham County, North Carolina",3766,1308,7354,2537,11298,N,30564,30276,12377,11083,9701,4541
0500000US37085,"Harnett County, North Carolina",9789,2626,16722,5933,27974,52600,50654,47830,12888,11514,9747,3900
0500000US37195,"Wilson County, North Carolina",5319,2073,10261,3613,15961,34813,33927,32233,11602,10002,8540,3815
0500000US39007,"Ashtabula County, Ohio",5712,1732,10114,3657,15379,39314,38067,36940,14638,13287,10265,4431
0500000US39013,"Belmont County, Ohio",3217,1317,6569,1911,10286,27338,26417,25646,10884,9809,7910,3731
0500000US40031,"Comanche County, Oklahoma",7688,2286,14094,5621,23943,44920,43770,41829,12500,10389,8360,3646
0500000US42013,"Blair County, Pennsylvania",6760,2193,11911,4733,21047,53055,51353,49323,18775,16722,14467,6990
0500000US42039,"Crawford County, Pennsylvania",4607,1623,8728,3897,14779,35903,34732,32461,12848,11734,9379,3931
0500000US42051,"Fayette County, Pennsylvania",6826,2079,12446,4204,21150,55155,53623,52204,20831,18556,15612,7366
0500000US47113,"Madison County, Tennessee",5694,1372,10404,5481,19031,41846,40692,38948,13308,11530,9332,4115
0500000US48027,"Bell County, Texas",26527,7111,48040,18251,77585,135585,130521,121847,30123,26688,21701,8881
0500000US48061,"Cameron County, Texas",34842,11335,63045,21202,85827,162202,154810,144778,42564,38124,32688,15112
0500000US49057,"Weber County, Utah",20606,5930,36018,12100,53935,95843,92043,87277,23480,20526,15837,6326
0500000US51165,"Rockingham County, Virginia",4913,1722,8831,4153,15304,34108,32841,30822,11826,10473,8257,3987
0500000US51700,"Newport News city, Virginia",10603,2566,19380,10219,38892,73131,72105,66894,18421,16295,13562,6128
0500000US51710,"Norfolk city, Virginia",12492,3348,23611,16400,54331,95755,93367,85376,22728,20078,15785,6571
0500000US51810,"Virginia Beach city, Virginia",26882,7857,48484,19123,93221,185938,180428,172684,50965,44801,36489,15678
0500000US53007,"Chelan County, Washington",5024,1674,9003,2323,14393,N,29447,28402,9961,8790,7601,3350
0500000US01015,"Calhoun County, Alabama",6457,2281,12085,5008,22058,49028,47138,45071,16263,14222,11896,5174
0500000US08005,"Arapahoe County, Colorado",41707,13142,74461,25604,134823,261852,253586,245124,67256,58934,47470,18610
0500000US13013,"Barrow County, Georgia",5532,1625,9648,3415,16303,32464,31244,30101,7975,7074,5949,2155
0500000US13157,"Jackson County, Georgia",4428,2312,8764,2751,14271,28629,26896,25963,7271,6701,5462,2418
0500000US13245,"Richmond County, Georgia",11880,3641,23841,10375,43045,83735,81609,77088,24466,22081,16449,6676
0500000US13285,"Troup County, Georgia",5023,1287,8722,4285,14719,N,28350,26573,8618,8016,5960,2659
0500000US19061,"Dubuque County, Iowa",5485,1703,11135,4907,17364,39102,37843,35465,13062,11804,9824,4891
0500000US21227,"Warren County, Kentucky",7979,2639,14667,10347,29318,53830,51911,46247,13608,11698,9457,3851
0500000US27019,"Carver County, Minnesota",8094,2752,13919,3957,20280,40642,38996,37224,10001,8802,7089,2867
0500000US28075,"Lauderdale County, Mississippi",5900,985,9183,2594,13657,30587,30033,29127,9392,8231,7406,3462
0500000US28081,"Lee County, Mississippi",6152,1363,10339,3008,16855,34710,33810,32567,10303,9172,7295,3497
0500000US28121,"Rankin County, Mississippi",9698,3290,17101,5846,32905,64532,62185,60817,18243,15504,13295,5416
0500000US36111,"Ulster County, New York",8602,3081,15709,8426,32112,76886,74348,70452,26740,23021,19273,8535
0500000US37183,"Wake County, North Carolina",72981,22579,128566,49867,237973,446774,432131,411325,101466,90634,72058,27957
0500000US39093,"Lorain County, Ohio",18607,5858,32913,13486,54110,128049,124011,117795,44174,39622,31892,13901
0500000US40119,"Payne County, Oklahoma",4453,1255,7942,9748,19774,32899,32068,26479,8103,7050,6141,2574
0500000US40131,"Rogers County, Oklahoma",5869,2085,10463,3856,17345,37211,35726,34281,11105,9780,8111,3318
0500000US42081,"Lycoming County, Pennsylvania",6298,2488,12145,4744,21005,48781,46850,44450,16663,14885,12204,5839
0500000US45015,"Berkeley County, South Carolina",14634,3857,24962,8593,43675,87262,85341,81713,24103,20210,16774,6118
0500000US45085,"Sumter County, South Carolina",6958,2097,12017,4739,20658,44414,42965,41368,13088,12013,10268,4425
