id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US01117,"Shelby County, Alabama",14383,4671,25382,8406,41853,82479,79640,75887,21899,18261,14806,5271
0500000US01121,"Talladega County, Alabama",4665,1418,8292,3236,14605,31189,30197,28842,8991,8219,6558,2343
0500000US01125,"Tuscaloosa County, Alabama",11739,3975,21652,16487,47808,80653,77924,68844,18110,15648,11969,4098
0500000US04021,"Pinal County, Arizona",30310,8589,52140,21321,94171,187209,181152,170711,56331,50694,43946,18040
0500000US06045,"Mendocino County, California",5290,1457,9033,3363,15460,35261,33984,32408,12178,10907,8725,2825
0500000US06059,"Orange County, California",198857,63093,357863,148522,652305,1257540,1215326,1149117,300043,258277,208991,85637
0500000US06067,"Sacramento County, California",104885,30680,185405,67423,321026,587449,567437,540893,138464,119253,93987,35931
0500000US12017,"Citrus County, Florida",6193,2019,10741,4538,18437,62751,61363,58951,32959,30451,26184,11726
0500000US17143,"Peoria County, Illinois",11906,3501,21480,8400,34723,68927,66338,62267,19618,17379,13125,5142
0500000US18059,"Hancock County, Indiana",5033,1515,8866,2783,13721,29414,28535,27477,8040,6938,6304,2066
0500000US18067,"Howard County, Indiana",5518,1512,9553,3058,14180,31047,30122,29096,9393,8136,6965,2907
0500000US22105,"Tangipahoa Parish, Louisiana",9631,2572,16920,6876,26028,49920,48231,45018,11903,10072,8405,2913
0500000US25003,"Berkshire County, Massachusetts",6202,2463,11413,5748,21509,51950,50086,47309,17889,16756,12765,5093
0500000US27139,"Scott County, Minnesota",11853,3053,20118,6095,28211,54409,52434,49346,10252,9039,7451,2805
0500000US36087,"Rockland County, New York",25641,8429,47212,15600,61105,118802,113018,105776,31462,28264,21973,9085
0500000US36105,"Sullivan County, New York",4689,1663,8306,3453,13801,31933,30552,28569,9530,8666,7082,2534
0500000US37037,"Chatham County, North Carolina",4932,1225,7639,2392,10385,N,27582,26332,10858,9998,8175,3053
0500000US37085,"Harnett County, North Carolina",9932,2787,18208,6239,28365,50670,48630,45969,10832,9499,7294,2962
0500000US37195,"Wilson County, North Carolina",5430,1028,8422,3778,13741,29573,28845,26353,9148,7389,6264,2114
0500000US39007,"Ashtabula County, Ohio",6485,1711,11309,3879,17303,39233,38003,36024,11863,10096,8304,3298
0500000US39013,"Belmont County, Ohio",3948,1210,6702,2446,12635,28547,27817,26719,9204,7628,6440,2299
0500000US40031,"Comanche County, Oklahoma",8080,2111,14241,9329,29461,49620,48317,43236,9890,8301,6863,2635
0500000US42013,"Blair County, Pennsylvania",7005,2198,12349,5126,21765,48628,46879,44553,14922,13236,11026,4343
0500000US42039,"Crawford County, Pennsylvania",4947,1739,9009,3961,14687,33640,32594,31013,11317,9842,8177,3237
0500000US42051,"Fayette County, Pennsylvania",7027,2128,12468,4706,23276,53503,51904,50132,17404,15566,12080,4708
0500000US47113,"Madison County, Tennessee",6357,2182,11490,4560,18181,36591,35019,32716,10574,9219,7249,2602
0500000US48027,"Bell County, Texas",27698,7606,50653,22009,81817,131852,126428,117915,24038,21145,16958,6601
0500000US48061,"Cameron County, Texas",36865,11345,65717,23240,85633,148454,140336,128637,32776,29966,25318,10533
0500000US49057,"Weber County, Utah",20774,6123,36502,12509,56973,95536,91796,86428,19111,16631,13725,5010
0500000US51165,"Rockingham County, Virginia",5354,1410,8959,3458,14010,31701,30613,29099,9774,8359,6952,2859
0500000US51700,"Newport News city, Virginia",11520,3873,21898,11435,39857,67866,65243,59047,15972,12814,9855,3571
0500000US51710,"Norfolk city, Virginia",12899,3139,24163,26856,70483,105145,102935,93361,17829,14985,11486,4129
0500000US51810,"Virginia Beach city, Virginia",28268,8344,50955,22574,98701,176167,170322,162303,39206,34624,27362,10730
0500000US53007,"Chelan County, Washington",5511,1105,9050,3369,13858,N,29536,28141,9282,8366,6817,2753
0500000US01015,"Calhoun County, Alabama",6669,1935,12399,5613,21660,44256,42655,39902,12107,10741,8619,3101
0500000US08005,"Arapahoe County, Colorado",44591,13219,78200,28037,140449,254268,244968,232821,56197,48423,37539,12552
0500000US13013,"Barrow County, Georgia",6534,2093,11313,3440,16329,30141,28604,27215,6251,5527,4294,1431
0500000US13157,"Jackson County, Georgia",5183,1705,9132,2483,13261,26773,25630,24376,6708,5798,4782,1847
0500000US13245,"Richmond County, Georgia",13337,3690,21787,12996,44781,77057,74317,69441,17880,15040,11699,4115
0500000US13285,"Troup County, Georgia",4628,1822,8440,4077,14250,N,24522,23339,6154,5581,4105,1397
0500000US19061,"Dubuque County, Iowa",5355,1891,10392,5064,19274,38883,37484,35106,10798,9672,7617,3032
0500000US21227,"Warren County, Kentucky",9129,2279,15410,10179,29449,51022,49276,44108,10291,9243,7905,2763
0500000US27019,"Carver County, Minnesota",7817,2888,13837,4261,19661,38618,36799,35140,8199,7030,5591,2108
0500000US28075,"Lauderdale County, Mississippi",5283,947,8545,3770,13776,28026,27556,25357,7847,6894,5532,2150
0500000US28081,"Lee County, Mississippi",5966,1672,10414,4864,16930,31698,30639,28156,7614,6476,4802,1700
0500000US28121,"Rankin County, Mississippi",10401,3443,18570,6316,30686,58606,56046,53085,13816,12545,10165,3572
0500000US36111,"Ulster County, New York",9371,2657,15602,8705,34365,74374,72940,69701,22680,19132,15852,6184
0500000US37183,"Wake County, North Carolina",75406,22768,132966,49678,230557,413468,398642,376103,81397,68842,54782,19016
0500000US39093,"Lorain County, Ohio",19624,6465,35350,14315,56798,121629,117187,110395,35411,31271,25013,9758
0500000US40119,"Payne County, Oklahoma",4517,1694,8266,11108,23487,34512,33764,28629,6718,5411,4839,1852
0500000US40131,"Rogers County, Oklahoma",6222,1982,11016,3988,17442,35908,34779,33067,9534,8784,6876,2737
0500000US42081,"Lycoming County, Pennsylvania",6529,1715,11172,5622,20710,44682,43497,39547,13876,12113,9697,3850
0500000US45015,"Berkeley County, South Carolina",15479,4396,27780,11832,46973,85548,83008,76933,20303,18043,14035,4896
0500000US45085,"Sumter County, South Carolina",7010,2005,13127,5690,20999,39850,38403,36298,10705,9564,7300,2875
0500000US47147,"Robertson County, Tennessee",4847,1368,8460,3145,13232,27320,26498,25189,6956,5952,4701,1679
0500000US48085,"Collin County, Texas",76728,24288,132804,42174,206820,377006,361905,342176,72207,61013,48384,16919
0500000US49045,"Tooele County, Utah",6864,2191,11950,3288,15561,N,23766,22248,5154,4269,3163,1359
0500000US53041,"Lewis County, Washington",4663,1510,8960,3118,14103,31892,31009,29536,10885,9949,7982,3022
0500000US53053,"Pierce County, Washington",60268,16549,107420,41998,189583,346977,336358,319888,82272,71066,55313,19569
0500000US54061,"Monongalia County, West Virginia",5337,1384,9458,11984,29957,46693,45665,40494,9169,8012,6146,2316
0500000US55009,"Brown County, Wisconsin",17928,5259,32043,12260,52193,103016,98959,92592,26408,22613,17727,6885
0500000US06115,"Yuba County, California",6204,1901,11356,3927,16911,29719,28463,27370,6912,5841,4222,1459
0500000US13051,"Chatham County, Georgia",17384,4770,31248,15664,60887,110605,107752,101843,25846,23175,18808,7017
0500000US13063,"Clayton County, Georgia",23453,6182,40366,14740,58205,99707,94751,88568,17568,14922,11264,3154
0500000US13113,"Fayette County, Georgia",8110,3181,13833,5135,19017,43653,41547,38424,12679,11264,9045,3234
0500000US13223,"Paulding County, Georgia",12491,3755,21897,6648,32862,61151,58096,54411,10770,9478,7647,3031
0500000US17043,"DuPage County, Illinois",60319,19776,108381,40774,180659,361690,348335,330930,94918,81208,63642,22925
0500000US17089,"Kane County, Illinois",39263,13077,69860,25008,106835,206020,196464,184737,47771,40492,32988,11953
0500000US18089,"Lake County, Indiana",32557,10301,57884,21703,90699,183761,176800,167918,50384,44305,34435,13207
0500000US21059,"Daviess County, Kentucky",7148,2142,12803,4278,18930,37829,36672,34630,10601,9082,7329,2803
0500000US21185,"Oldham County, Kentucky",5083,1604,8242,3081,14299,27534,26507,24917,6097,4894,4076,1348
0500000US25009,"Essex County, Massachusetts",47712,15761,86092,37313,147456,306342,295777,278843,82713,72944,58042,21902
0500000US26163,"Wayne County, Michigan",116261,36701,211644,76109,332921,656731,633297,600105,170135,146623,114333,43301
0500000US29165,"Platte County, Missouri",7685,2207,12858,4079,20165,39320,37919,36382,10262,8677,6848,2336
0500000US36053,"Madison County, New York",3865,1219,6680,4796,13212,28769,28139,24858,9167,7863,6028,2239
0500000US37159,"Rowan County, North Carolina",10984,3606,18255,5713,26555,55185,53042,50268,14620,13377,11068,4114
0500000US39029,"Columbiana County, Ohio",5781,1900,10222,4453,18526,42909,41367,39652,13403,11656,9721,3502
0500000US41059,"Umatilla County, Oregon",5849,1635,9447,3951,16528,31443,30341,28764,8076,6617,5632,2103
0500000US42045,"Delaware County, Pennsylvania",35030,11289,63560,27882,108718,215568,208527,194808,56885,49372,39202,15574
0500000US42073,"Lawrence County, Pennsylvania",4564,1924,8554,3402,14972,34669,33365,32241,11812,10023,8227,3408
0500000US47157,"Shelby County, Tennessee",66211,19266,118335,43087,184965,339535,326943,307821,82531,70795,52975,18217
0500000US04003,"Cochise County, Arizona",7727,2065,14015,6199,24314,52062,50980,47126,18794,16473,13628,5627
0500000US04005,"Coconino County, Arizona",8789,2674,15138,13254,34097,57225,55383,49053,12494,10939,8589,2945
0500000US06023,"Humboldt County, California",7853,2170,14056,8388,29643,55926,54666,51145,16721,14584,11153,3815
0500000US06039,"Madera County, California",12217,3401,21454,7307,30915,57485,55119,51413,14381,12596,10906,4104
