id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US01117,"Shelby County, Alabama",27851,8875,48670,17648,84457,173097,167037,159267,47098,40234,33295,12943
0500000US01121,"Talladega County, Alabama",9417,3143,16810,6743,29767,65419,63018,59459,20479,18090,14422,5665
0500000US01125,"Tuscaloosa County, Alabama",24180,8023,43992,34257,98404,170265,164919,144589,39432,34686,27472,10661
0500000US04021,"Pinal County, Arizona",59282,16685,101143,36982,169127,356563,345995,329577,118634,107624,90825,35819
0500000US06045,"Mendocino County, California",10576,2870,18535,7686,29380,71461,69071,65738,25968,23698,19072,6752
0500000US06059,"Orange County, California",387972,123390,698786,292584,1289143,2571255,2487182,2360656,659502,571458,471226,204692
0500000US06067,"Sacramento County, California",204555,60502,363911,131837,639598,1215153,1177064,1124904,310577,272495,217444,89212
0500000US12017,"Citrus County, Florida",12148,4048,21949,7881,35536,128567,125980,122094,68279,63023,53832,24373
0500000US17143,"Peoria County, Illinois",23035,7105,42559,16493,69459,143086,138062,130568,42897,38411,30201,12751
0500000US18059,"Hancock County, Indiana",10228,2964,17780,5345,27910,60569,58571,56690,17026,14743,12948,4843
0500000US18067,"Howard County, Indiana",10586,3000,18632,6179,28970,65655,63734,61531,21163,18961,15917,6903
0500000US22105,"Tangipahoa Parish, Louisiana",18298,4979,32871,14236,53754,104241,100906,93226,26868,23228,19087,7081
0500000US25003,"Berkshire County, Massachusetts",11907,4656,21564,11688,42851,108235,104784,99141,39858,36854,29239,12621
0500000US27139,"Scott County, Minnesota",23691,6553,40100,11775,58050,111438,107281,101648,23675,21085,16292,6437
0500000US36087,"Rockland County, New York",50191,15173,91712,30438,118855,243733,233983,220897,70767,63686,51109,23156
0500000US36105,"Sullivan County, New York",8975,2860,16002,6113,25942,61869,59496,55984,19409,17853,14198,5828
0500000US37037,"Chatham County, North Carolina",8698,2533,14993,4929,21683,59839,58146,56608,23235,21081,17876,7594
0500000US37085,"Harnett County, North Carolina",19721,5413,34930,12172,56339,103270,99284,93799,23720,21013,17041,6862
0500000US37195,"Wilson County, North Carolina",10749,3101,18683,7391,29702,64386,62772,58586,20750,17391,14804,5929
0500000US39007,"Ashtabula County, Ohio",12197,3443,21423,7536,32682,78547,76070,72964,26501,23383,18569,7729
0500000US39013,"Belmont County, Ohio",7165,2527,13271,4357,22921,55885,54234,52365,20088,17437,14350,6030
0500000US40031,"Comanche County, Oklahoma",15768,4397,28335,14950,53404,94540,92087,85065,22390,18690,15223,6281
0500000US42013,"Blair County, Pennsylvania",13765,4391,24260,9859,42812,101683,98232,93876,33697,29958,25493,11333
0500000US42039,"Crawford County, Pennsylvania",9554,3362,17737,7858,29466,69543,67326,63474,24165,21576,17556,7168
0500000US42051,"Fayette County, Pennsylvania",13853,4207,24914,8910,44426,108658,105527,102336,38235,34122,27692,12074
0500000US47113,"Madison County, Tennessee",12051,3554,21894,10041,37212,78437,75711,71664,23882,20749,16581,6717
0500000US48027,"Bell County, Texas",54225,14717,98693,40260,159402,267437,256949,239762,54161,47833,38659,15482
0500000US48061,"Cameron County, Texas",71707,22680,128762,44442,171460,310656,295146,273415,75340,68090,58006,25645
0500000US49057,"Weber County, Utah",41380,12053,72520,24609,110908,191379,183839,173705,42591,37157,29562,11336
0500000US51165,"Rockingham County, Virginia",10267,3132,17790,7611,29314,65809,63454,59921,21600,18832,15209,6846
0500000US51700,"Newport News city, Virginia",22123,6439,41278,21654,78749,140997,137348,125941,34393,29109,23417,9699
0500000US51710,"Norfolk city, Virginia",25391,6487,47774,43256,124814,200900,196302,178737,40557,35063,27271,10700
0500000US51810,"Virginia Beach city, Virginia",55150,16201,99439,41697,191922,362105,350750,334987,90171,79425,63851,26408
0500000US53007,"Chelan County, Washington",10535,2779,18053,5692,28251,60734,58983,56543,19243,17156,14418,6103
0500000US01015,"Calhoun County, Alabama",13126,4216,24484,10621,43718,93284,89793,84973,28370,24963,20515,8275
0500000US08005,"Arapahoe County, Colorado",86298,26361,152661,53641,275272,516120,498554,477945,123453,107357,85009,31162
0500000US13013,"Barrow County, Georgia",12066,3718,20961,6855,32632,62605,59848,57316,14226,12601,10243,3586
0500000US13157,"Jackson County, Georgia",9611,4017,17896,5234,27532,55402,52526,50339,13979,12499,10244,4265
0500000US13245,"Richmond County, Georgia",25217,7331,45628,23371,87826,160792,155926,146529,42346,37121,28148,10791
0500000US13285,"Troup County, Georgia",9651,3109,17162,8362,28969,54813,52872,49912,14772,13597,10065,4056
0500000US19061,"Dubuque County, Iowa",10840,3594,21527,9971,36638,77985,75327,70571,23860,21476,17441,7923
0500000US21227,"Warren County, Kentucky",17108,4918,30077,20526,58767,104852,101187,90355,23899,20941,17362,6614
0500000US27019,"Carver County, Minnesota",15911,5640,27756,8218,39941,79260,75795,72364,18200,15832,12680,4975
0500000US28075,"Lauderdale County, Mississippi",11183,1932,17728,6364,27433,58613,57589,54484,17239,15125,12938,5612
0500000US28081,"Lee County, Mississippi",12118,3035,20753,7872,33785,66408,64449,60723,17917,15648,12097,5197
