id,Geographic Area Name,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,Mean travel time to work (minutes)
0500000US01117,"Shelby County, Alabama",6.1,9.1,12.0,13.6,6.8,20.7,9.6,11.3,10.8,30.4
0500000US01121,"Talladega County, Alabama",15.3,20.1,14.5,14.0,4.6,10.1,5.9,7.3,8.3,24.2
0500000US01125,"Tuscaloosa County, Alabama",13.4,13.7,17.4,21.6,5.7,11.6,4.9,5.0,6.7,23.6
0500000US04021,"Pinal County, Arizona",13.1,11.9,9.7,7.4,4.5,13.4,11.3,14.8,13.9,31.6
0500000US06045,"Mendocino County, California",28.0,22.7,12.5,11.9,4.7,8.6,2.5,2.1,7.1,19.6
0500000US06059,"Orange County, California",8.4,11.5,15.1,15.0,6.4,17.2,7.9,8.7,9.9,28.3
0500000US06067,"Sacramento County, California",7.8,11.2,14.9,16.0,8.2,17.5,7.5,8.6,8.3,28.4
0500000US12017,"Citrus County, Florida",10.1,14.1,20.2,14.4,6.8,13.7,6.5,4.3,9.9,27.6
0500000US17143,"Peoria County, Illinois",17.2,21.4,24.4,15.7,7.4,8.2,2.1,2.2,1.4,17.5
0500000US18059,"Hancock County, Indiana",13.9,13.3,10.7,12.9,4.8,13.4,9.7,19.0,2.3,25.6
0500000US18067,"Howard County, Indiana",26.7,19.5,19.5,11.2,3.2,3.9,4.2,4.3,7.5,19.6
0500000US22105,"Tangipahoa Parish, Louisiana",13.1,10.2,17.9,8.3,7.2,9.7,3.3,10.4,20.0,32.3
0500000US25003,"Berkshire County, Massachusetts",19.0,21.6,17.8,11.3,6.4,9.5,5.2,4.2,5.1,20.9
0500000US27139,"Scott County, Minnesota",11.4,11.0,11.5,13.9,8.5,16.9,11.6,11.0,4.3,26.2
0500000US36087,"Rockland County, New York",12.8,11.9,15.0,12.5,4.3,9.3,6.6,7.5,20.3,32.8
0500000US36105,"Sullivan County, New York",16.2,15.6,13.1,14.7,5.9,11.3,4.1,5.6,13.5,28.3
0500000US37037,"Chatham County, North Carolina",8.2,6.2,13.4,12.1,4.2,17.0,13.7,10.5,14.6,31.8
0500000US37085,"Harnett County, North Carolina",9.0,10.8,10.0,11.4,6.8,16.0,10.6,13.0,12.4,30.9
0500000US37195,"Wilson County, North Carolina",13.4,22.5,25.2,11.4,4.2,6.6,2.3,7.2,7.2,22.1
0500000US39007,"Ashtabula County, Ohio",20.0,13.1,12.7,12.6,6.1,10.3,8.4,9.7,7.0,25.3
0500000US39013,"Belmont County, Ohio",8.3,9.4,16.8,23.0,8.6,15.2,7.0,6.1,5.5,25.2
0500000US40031,"Comanche County, Oklahoma",19.9,20.3,22.9,15.7,4.3,8.2,2.7,1.3,4.8,19.1
0500000US42013,"Blair County, Pennsylvania",18.4,23.2,22.2,12.5,5.0,7.3,3.8,4.6,2.9,19.0
0500000US42039,"Crawford County, Pennsylvania",20.5,17.3,14.1,14.9,4.5,12.4,6.0,4.7,5.6,22.1
0500000US42051,"Fayette County, Pennsylvania",17.7,14.4,13.9,10.3,5.6,9.9,7.5,9.7,11.1,27.7
0500000US47113,"Madison County, Tennessee",16.1,23.0,26.4,14.5,5.9,3.5,2.9,2.1,5.6,19.3
0500000US48027,"Bell County, Texas",16.2,19.2,20.0,15.2,4.1,9.7,4.2,5.6,5.7,21.7
