id,State Name,County Name,number_work_in_county,number_work_out_of_county
0500000US01001,Alabama,Autauga County,15292,8828
0500000US01003,Alabama,Baldwin County,23845,60659
0500000US01005,Alabama,Barbour County,2355,6109
0500000US01007,Alabama,Bibb County,4704,3444
0500000US01009,Alabama,Blount County,14460,7485
0500000US01011,Alabama,Bullock County,1401,2447
0500000US01013,Alabama,Butler County,2160,5584
0500000US01015,Alabama,Calhoun County,9710,36657
0500000US01017,Alabama,Chambers County,8136,5403
0500000US01019,Alabama,Cherokee County,5088,4790
0500000US01021,Alabama,Chilton County,8950,8603
0500000US01023,Alabama,Choctaw County,1668,2582
0500000US01025,Alabama,Clarke County,1946,6102
0500000US01027,Alabama,Clay County,1897,3136
0500000US01029,Alabama,Cleburne County,3934,1910
0500000US01031,Alabama,Coffee County,8333,13319
0500000US01033,Alabama,Colbert County,7583,13330
0500000US01035,Alabama,Conecuh County,1518,2150
0500000US01037,Alabama,Coosa County,2998,704
0500000US01039,Alabama,Covington County,2947,11014
0500000US01041,Alabama,Crenshaw County,2615,2918
0500000US01043,Alabama,Cullman County,9859,21995
0500000US01045,Alabama,Dale County,8739,11975
0500000US01047,Alabama,Dallas County,2634,10943
0500000US01049,Alabama,DeKalb County,7626,19719
0500000US01051,Alabama,Elmore County,22558,10469
0500000US01053,Alabama,Escambia County,3041,9016
0500000US01055,Alabama,Etowah County,10766,29411
0500000US01057,Alabama,Fayette County,2995,3015
0500000US01059,Alabama,Franklin County,4431,7728
0500000US01061,Alabama,Geneva County,5718,4624
0500000US01063,Alabama,Greene County,1297,1085
0500000US01065,Alabama,Hale County,3054,2075
0500000US01067,Alabama,Henry County,3933,2821
0500000US01069,Alabama,Houston County,6986,36551
0500000US01071,Alabama,Jackson County,6942,13628
0500000US01073,Alabama,Jefferson County,34358,254420
0500000US01075,Alabama,Lamar County,2174,3147
0500000US01077,Alabama,Lauderdale County,11770,27415
0500000US01079,Alabama,Lawrence County,7913,4648
0500000US01081,Alabama,Lee County,22513,45450
0500000US01083,Alabama,Limestone County,20315,16990
0500000US01085,Alabama,Lowndes County,2224,1105
0500000US01087,Alabama,Macon County,3580,3818
0500000US01089,Alabama,Madison County,9565,152337
0500000US01091,Alabama,Marengo County,2128,4632
0500000US01093,Alabama,Marion County,3706,7622
0500000US01095,Alabama,Marshall County,9743,27510
0500000US01097,Alabama,Mobile County,15422,153284
0500000US01099,Alabama,Monroe County,1310,5193
0500000US01101,Alabama,Montgomery County,7849,90562
0500000US01103,Alabama,Morgan County,16721,33757
0500000US01105,Alabama,Perry County,1274,1508
0500000US01107,Alabama,Pickens County,3248,3341
0500000US01109,Alabama,Pike County,2050,12071
0500000US01111,Alabama,Randolph County,3681,4724
0500000US01113,Alabama,Russell County,17155,6839
0500000US01115,Alabama,St. Clair County,23213,13122
0500000US01117,Alabama,Shelby County,50708,48813
0500000US01119,Alabama,Sumter County,1559,2765
0500000US01121,Alabama,Talladega County,11031,18723
0500000US01123,Alabama,Tallapoosa County,5209,10393
0500000US01125,Alabama,Tuscaloosa County,8491,77767
0500000US01127,Alabama,Walker County,7287,16221
0500000US01129,Alabama,Washington County,2807,2726
0500000US01131,Alabama,Wilcox County,941,1881
0500000US01133,Alabama,Winston County,3141,5254
0500000US02013,Alaska,Aleutians East Borough,3,2504
0500000US02016,Alaska,Aleutians West Census Area,21,3788
0500000US02020,Alaska,Anchorage Municipality,6364,151009
0500000US02050,Alaska,Bethel Census Area,39,6017
0500000US02060,Alaska,Bristol Bay Borough,36,502
0500000US02068,Alaska,Denali Borough,70,1160
0500000US02070,Alaska,Dillingham Census Area,23,1782
0500000US02090,Alaska,Fairbanks North Star Borough,1589,49307
0500000US02100,Alaska,Haines Borough,126,1271
0500000US02105,Alaska,Hoonah-Angoon Census Area,101,945
0500000US02110,Alaska,Juneau City and Borough,161,17273
0500000US02122,Alaska,Kenai Peninsula Borough,1993,22706
0500000US02130,Alaska,Ketchikan Gateway Borough,77,6542
0500000US02150,Alaska,Kodiak Island Borough,94,7338
0500000US02158,Alaska,Kusilvak Census Area,22,2000
0500000US02164,Alaska,Lake and Peninsula Borough,16,620
0500000US02170,Alaska,Matanuska-Susitna Borough,14685,25038
0500000US02180,Alaska,Nome Census Area,18,3469
0500000US02185,Alaska,North Slope Borough,93,5345
0500000US02188,Alaska,Northwest Arctic Borough,40,2456
0500000US02195,Alaska,Petersburg Borough,124,1442
0500000US02198,Alaska,Prince of Wales-Hyder Census Area,85,2570
0500000US02220,Alaska,Sitka City and Borough,129,4579
0500000US02230,Alaska,Skagway Municipality,24,622
0500000US02240,Alaska,Southeast Fairbanks Census Area,88,2910
0500000US02261,Alaska,Valdez-Cordova Census Area,97,4304
0500000US02275,Alaska,Wrangell City and Borough,40,985
0500000US02282,Alaska,Yakutat City and Borough,8,342
0500000US02290,Alaska,Yukon-Koyukuk Census Area,140,1855
0500000US04001,Arizona,Apache County,3762,14349
0500000US04003,Arizona,Cochise County,2410,45049
0500000US04005,Arizona,Coconino County,5105,58867
0500000US04007,Arizona,Gila County,2594,14829
0500000US04009,Arizona,Graham County,2088,9401
0500000US04011,Arizona,Greenlee County,240,3009
0500000US04012,Arizona,La Paz County,709,5590
0500000US04013,Arizona,Maricopa County,41335,1752699
0500000US04015,Arizona,Mohave County,12766,52567
0500000US04017,Arizona,Navajo County,2813,28352
0500000US04019,Arizona,Pima County,13577,404514
0500000US04021,Arizona,Pinal County,65672,66064
0500000US04023,Arizona,Santa Cruz County,2386,14694
0500000US04025,Arizona,Yavapai County,7097,72345
0500000US04027,Arizona,Yuma County,3589,69282
0500000US05001,Arkansas,Arkansas County,619,7327
0500000US05003,Arkansas,Ashley County,1225,6395
0500000US05005,Arkansas,Baxter County,2256,12543
0500000US05007,Arkansas,Benton County,17659,91493
0500000US05009,Arkansas,Boone County,2495,12523
0500000US05011,Arkansas,Bradley County,1064,2988
0500000US05013,Arkansas,Calhoun County,1395,772
0500000US05015,Arkansas,Carroll County,1912,9154
0500000US05017,Arkansas,Chicot County,1174,2551
0500000US05019,Arkansas,Clark County,2741,6867
0500000US05021,Arkansas,Clay County,2358,3839
0500000US05023,Arkansas,Cleburne County,2668,6837
0500000US05025,Arkansas,Cleveland County,2314,842
0500000US05027,Arkansas,Columbia County,1797,8386
0500000US05029,Arkansas,Conway County,3527,4680
0500000US05031,Arkansas,Craighead County,5122,39557
0500000US05033,Arkansas,Crawford County,13059,11762
0500000US05035,Arkansas,Crittenden County,8133,11635
0500000US05037,Arkansas,Cross County,2308,4667
0500000US05039,Arkansas,Dallas County,1219,1751
0500000US05041,Arkansas,Desha County,991,3292
0500000US05043,Arkansas,Drew County,2275,4949
0500000US05045,Arkansas,Faulkner County,17665,38558
0500000US05047,Arkansas,Franklin County,2818,3474
0500000US05049,Arkansas,Fulton County,2081,2331
0500000US05051,Arkansas,Garland County,5296,33527
0500000US05053,Arkansas,Grant County,4478,3002
0500000US05055,Arkansas,Greene County,4553,12786
0500000US05057,Arkansas,Hempstead County,2125,6487
0500000US05059,Arkansas,Hot Spring County,5929,6982
0500000US05061,Arkansas,Howard County,1045,4374
0500000US05063,Arkansas,Independence County,2148,12752
0500000US05065,Arkansas,Izard County,1564,2907
0500000US05067,Arkansas,Jackson County,1477,3983
0500000US05069,Arkansas,Jefferson County,4595,23023
0500000US05071,Arkansas,Johnson County,2024,8144
0500000US05073,Arkansas,Lafayette County,1100,1346
0500000US05075,Arkansas,Lawrence County,2351,3957
0500000US05077,Arkansas,Lee County,1210,1630
0500000US05079,Arkansas,Lincoln County,1742,1780
0500000US05081,Arkansas,Little River County,2370,2356
0500000US05083,Arkansas,Logan County,3115,5406
0500000US05085,Arkansas,Lonoke County,20262,12000
0500000US05087,Arkansas,Madison County,3248,3460
0500000US05089,Arkansas,Marion County,2437,3113
0500000US05091,Arkansas,Miller County,9891,7867
0500000US05093,Arkansas,Mississippi County,1406,15343
0500000US05095,Arkansas,Monroe County,852,1825
0500000US05097,Arkansas,Montgomery County,1578,1960
0500000US05099,Arkansas,Nevada County,1590,1642
0500000US05101,Arkansas,Newton County,1459,1638
0500000US05103,Arkansas,Ouachita County,2829,7404
0500000US05105,Arkansas,Perry County,2903,1196
0500000US05107,Arkansas,Phillips County,1436,5385
0500000US05109,Arkansas,Pike County,1919,2457
0500000US05111,Arkansas,Poinsett County,4281,4623
0500000US05113,Arkansas,Polk County,780,6602
0500000US05115,Arkansas,Pope County,4903,22103
0500000US05117,Arkansas,Prairie County,1607,1790
0500000US05119,Arkansas,Pulaski County,12814,166806
0500000US05121,Arkansas,Randolph County,2267,4279
0500000US05123,Arkansas,St. Francis County,2496,6497
0500000US05125,Arkansas,Saline County,31222,21280
0500000US05127,Arkansas,Scott County,960,3182
0500000US05129,Arkansas,Searcy County,1109,1695
0500000US05131,Arkansas,Sebastian County,8554,45764
0500000US05133,Arkansas,Sevier County,2430,4545
0500000US05135,Arkansas,Sharp County,2539,3100
0500000US05137,Arkansas,Stone County,829,3383
0500000US05139,Arkansas,Union County,1493,14719
0500000US05141,Arkansas,Van Buren County,1985,3319
0500000US05143,Arkansas,Washington County,18749,82844
0500000US05145,Arkansas,White County,8322,23666
0500000US05147,Arkansas,Woodruff County,732,1632
0500000US05149,Arkansas,Yell County,4161,4225
0500000US06001,California,Alameda County,256862,462270
0500000US06003,California,Alpine County,222,173
0500000US06005,California,Amador County,3817,8063
0500000US06007,California,Butte County,7346,79201
0500000US06009,California,Calaveras County,6757,8886
0500000US06011,California,Colusa County,1946,6624
0500000US06013,California,Contra Costa County,212126,283631
0500000US06015,California,Del Norte County,536,7619
0500000US06017,California,El Dorado County,34018,43057
0500000US06019,California,Fresno County,31408,328904
0500000US06021,California,Glenn County,3279,6784
0500000US06023,California,Humboldt County,1146,55376
0500000US06025,California,Imperial County,4514,52807
0500000US06027,California,Inyo County,741,7378
0500000US06029,California,Kern County,18324,301472
0500000US06031,California,Kings County,12031,41634
0500000US06033,California,Lake County,5029,16885
0500000US06035,California,Lassen County,683,8113
0500000US06037,California,Los Angeles County,334746,4181968
0500000US06039,California,Madera County,13657,30551
0500000US06041,California,Marin County,43886,81726
0500000US06043,California,Mariposa County,1951,5096
0500000US06045,California,Mendocino County,2513,33177
0500000US06047,California,Merced County,25004,68122
0500000US06049,California,Modoc County,532,2612
0500000US06051,California,Mono County,571,6418
0500000US06053,California,Monterey County,19940,159094
0500000US06055,California,Napa County,15258,51743
0500000US06057,California,Nevada County,10724,29668
0500000US06059,California,Orange County,235282,1242588
0500000US06061,California,Placer County,60410,99291
0500000US06063,California,Plumas County,1034,6024
0500000US06065,California,Riverside County,275801,622838
0500000US06067,California,Sacramento County,115932,500834
0500000US06069,California,San Benito County,13373,11928
0500000US06071,California,San Bernardino County,246417,569986
0500000US06073,California,San Diego County,43046,1461502
0500000US06075,California,San Francisco County,114866,353484
0500000US06077,California,San Joaquin County,74539,196952
0500000US06079,California,San Luis Obispo County,13746,110495
0500000US06081,California,San Mateo County,160215,218287
0500000US06083,California,Santa Barbara County,13296,186689
0500000US06085,California,Santa Clara County,118233,774477
0500000US06087,California,Santa Cruz County,29040,99105
0500000US06089,California,Shasta County,4740,62873
0500000US06091,California,Sierra County,357,705
0500000US06093,California,Siskiyou County,935,14730
0500000US06095,California,Solano County,75812,109059
0500000US06097,California,Sonoma County,37428,197589
0500000US06099,California,Stanislaus County,47052,155348
0500000US06101,California,Sutter County,15286,21304
0500000US06103,California,Tehama County,7106,15676
0500000US06105,California,Trinity County,523,4201
0500000US06107,California,Tulare County,24669,140091
0500000US06109,California,Tuolumne County,2755,16118
0500000US06111,California,Ventura County,87247,302888
0500000US06113,California,Yolo County,32756,57362
0500000US06115,California,Yuba County,13600,12513
0500000US08001,Colorado,Adams County,136539,89203
0500000US08003,Colorado,Alamosa County,702,5493
0500000US08005,Colorado,Arapahoe County,157764,149755
0500000US08007,Colorado,Archuleta County,589,4662
0500000US08009,Colorado,Baca County,121,1528
0500000US08011,Colorado,Bent County,299,886
0500000US08013,Colorado,Boulder County,34318,128624
0500000US08014,Colorado,Broomfield County,22711,8491
0500000US08015,Colorado,Chaffee County,650,7322
0500000US08017,Colorado,Cheyenne County,94,836
0500000US08019,Colorado,Clear Creek County,2775,2214
0500000US08021,Colorado,Conejos County,1296,1662
0500000US08023,Colorado,Costilla County,339,890
0500000US08025,Colorado,Crowley County,593,863
0500000US08027,Colorado,Custer County,332,985
0500000US08029,Colorado,Delta County,2593,8426
0500000US08031,Colorado,Denver County,132270,210717
0500000US08033,Colorado,Dolores County,268,513
0500000US08035,Colorado,Douglas County,89661,67951
0500000US08037,Colorado,Eagle County,5064,26063
0500000US08039,Colorado,Elbert County,8053,4171
0500000US08041,Colorado,El Paso County,17796,294336
0500000US08043,Colorado,Fremont County,2754,11054
0500000US08045,Colorado,Garfield County,6588,22101
0500000US08047,Colorado,Gilpin County,1571,1572
0500000US08049,Colorado,Grand County,839,7255
0500000US08051,Colorado,Gunnison County,337,8517
0500000US08053,Colorado,Hinsdale County,50,392
0500000US08055,Colorado,Huerfano County,490,1666
0500000US08057,Colorado,Jackson County,79,675
0500000US08059,Colorado,Jefferson County,149090,140832
0500000US08061,Colorado,Kiowa County,124,588
0500000US08063,Colorado,Kit Carson County,154,3218
0500000US08065,Colorado,Lake County,1215,2879
0500000US08067,Colorado,La Plata County,2028,25212
0500000US08069,Colorado,Larimer County,28664,131908
0500000US08071,Colorado,Las Animas County,444,5288
0500000US08073,Colorado,Lincoln County,169,1304
0500000US08075,Colorado,Logan County,1367,8896
0500000US08077,Colorado,Mesa County,4629,62207
0500000US08079,Colorado,Mineral County,52,240
0500000US08081,Colorado,Moffat County,1413,4830
0500000US08083,Colorado,Montezuma County,1668,9171
0500000US08085,Colorado,Montrose County,2797,13623
0500000US08087,Colorado,Morgan County,1357,11731
0500000US08089,Colorado,Otero County,1216,5967
0500000US08091,Colorado,Ouray County,671,1515
0500000US08093,Colorado,Park County,5627,3117
0500000US08095,Colorado,Phillips County,264,1709
0500000US08097,Colorado,Pitkin County,1361,8594
0500000US08099,Colorado,Prowers County,493,5007
0500000US08101,Colorado,Pueblo County,7059,57319
0500000US08103,Colorado,Rio Blanco County,281,3015
0500000US08105,Colorado,Rio Grande County,1604,3325
0500000US08107,Colorado,Routt County,519,13129
0500000US08109,Colorado,Saguache County,784,1649
0500000US08111,Colorado,San Juan County,80,257
