id,Geographic Area Name,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Population 20 to 64 years,Male,Female,With own children under 18 years,With own children under 6 years only,With own children under 6 years and 6 to 17 years,With own children 6 to 17 years only,Below poverty level,At or above the poverty level,With any disability,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0500000US01117,"Shelby County, Alabama",64.1,38.5,76.2,79.1,87.1,85.7,81.3,68.9,57.4,26.8,5.6,63.4,67.5,N,N,N,N,N,N,63.8,78.3,86.3,70.7,73.2,59.2,66.0,80.1,44.8,82.6,40.5,78.5,49.8,70.2,80.4,85.2
0500000US01121,"Talladega County, Alabama",53.5,53.8,60.4,80.9,78.6,75.7,67.5,61.6,39.3,12.5,7.9,53.8,53.3,N,N,N,N,N,N,54.9,66.9,69.0,64.9,71.2,71.3,68.6,72.2,35.8,78.2,42.5,67.6,45.2,67.5,70.0,88.4
0500000US01125,"Tuscaloosa County, Alabama",60.7,27.5,71.2,79.7,80.7,83.0,79.2,68.5,55.6,23.8,8.2,59.0,64.7,N,N,N,N,N,N,58.9,75.6,80.3,71.3,72.7,80.0,63.0,73.7,47.7,81.6,43.9,76.5,52.1,71.9,78.4,86.7
0500000US04021,"Pinal County, Arizona",49.3,43.4,67.0,60.1,66.9,69.4,72.1,57.4,42.1,16.5,2.2,48.3,58.6,48.1,N,N,N,N,55.7,45.8,64.0,63.9,64.1,66.7,65.4,58.3,71.6,45.9,74.8,35.7,63.6,44.2,59.9,66.9,78.2
0500000US06045,"Mendocino County, California",58.4,34.2,84.8,74.6,69.7,73.1,76.8,80.8,59.9,32.5,11.4,57.5,N,62.7,N,N,N,N,71.6,54.4,74.1,77.8,70.2,70.3,72.3,60.5,74.1,40.4,82.6,33.0,72.7,67.7,69.2,71.6,83.2
0500000US06059,"Orange County, California",65.5,31.1,71.1,85.4,85.3,82.9,83.2,75.3,64.5,29.2,7.3,65.2,69.9,62.4,61.5,N,72.9,70.9,71.1,63.1,79.6,86.3,72.9,69.0,68.2,66.0,70.2,45.2,83.6,53.0,80.7,71.1,77.8,81.0,84.7
0500000US06067,"Sacramento County, California",63.1,32.2,75.5,80.1,82.2,80.1,82.0,72.0,53.2,22.9,5.1,62.9,60.2,N,62.3,69.5,68.0,66.2,67.9,61.6,76.7,81.9,71.7,70.8,70.9,60.7,74.9,46.8,81.7,39.6,76.9,58.8,70.8,77.8,86.5
0500000US12017,"Citrus County, Florida",38.3,33.5,82.3,71.9,72.8,79.1,70.5,54.6,23.3,13.3,4.2,37.2,N,N,N,N,N,N,N,37.1,61.1,66.5,56.0,66.0,62.2,44.3,73.1,32.9,68.2,30.3,59.3,48.7,57.6,56.8,73.4
0500000US17143,"Peoria County, Illinois",61.0,42.6,70.9,75.4,84.9,84.8,83.9,75.1,46.9,21.3,5.3,58.5,67.1,N,N,N,N,N,N,58.2,76.3,77.3,75.2,78.2,77.8,61.7,84.2,43.7,83.6,35.1,76.9,55.8,69.8,79.7,85.4
0500000US18059,"Hancock County, Indiana",65.2,32.1,78.6,85.7,91.4,88.8,82.0,79.9,52.6,20.9,8.2,65.5,N,N,N,N,N,N,N,65.5,81.6,89.6,73.9,N,N,N,N,N,N,N,81.9,51.9,81.6,80.6,89.7
0500000US18067,"Howard County, Indiana",60.2,39.2,85.6,79.9,83.5,83.4,80.3,70.4,55.5,20.7,5.3,60.1,N,N,N,N,N,N,N,59.6,77.7,83.1,72.6,81.5,74.8,77.6,84.9,39.7,83.9,46.8,76.8,45.0,77.5,78.2,89.0
0500000US22105,"Tangipahoa Parish, Louisiana",58.6,50.3,71.3,76.1,78.4,76.1,67.5,67.4,44.1,23.8,4.5,61.1,54.3,N,N,N,N,N,N,60.8,69.7,75.1,64.5,71.7,51.0,79.9,75.0,45.5,75.4,33.9,69.4,50.5,67.9,65.1,90.5
0500000US25003,"Berkshire County, Massachusetts",60.5,40.6,74.2,80.8,89.5,82.3,85.4,79.8,58.1,27.1,10.6,60.1,N,N,N,N,N,N,N,59.8,78.7,79.2,78.1,80.8,86.5,62.4,84.7,50.0,84.5,39.2,79.3,56.3,76.3,75.5,89.7
0500000US27139,"Scott County, Minnesota",74.8,50.6,88.0,80.4,90.6,90.2,89.1,90.2,72.0,28.2,7.0,76.0,N,N,N,N,N,N,N,75.9,87.3,93.0,81.9,83.7,79.1,82.1,86.2,63.8,89.6,56.8,87.3,79.6,77.4,87.4,92.6
0500000US36087,"Rockland County, New York",62.9,31.0,67.3,83.4,74.4,81.2,84.2,78.9,64.8,36.5,9.5,60.3,68.1,N,65.2,N,N,N,72.4,58.7,77.6,81.1,74.2,69.5,71.1,57.0,76.8,49.6,81.5,35.7,79.1,61.1,70.3,81.0,86.9
0500000US36105,"Sullivan County, New York",55.6,27.1,74.4,76.4,75.7,79.7,69.3,62.4,57.0,27.4,8.1,55.1,N,N,N,N,N,N,N,54.8,70.7,72.3,68.9,71.3,56.8,63.7,81.0,42.5,77.3,27.1,70.3,49.7,62.0,80.3,85.5
