id,Geographic Area Name,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Population 20 to 64 years,Male,Female,With own children under 18 years,With own children under 6 years only,With own children under 6 years and 6 to 17 years,With own children 6 to 17 years only,Below poverty level,At or above the poverty level,With any disability,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0500000US01117,"Shelby County, Alabama",62.0,34.5,67.3,73.2,84.6,85.1,79.0,68.3,57.2,26.8,5.6,61.3,64.4,N,N,N,N,N,N,61.6,75.7,83.5,68.4,72.2,59.2,63.8,79.1,34.4,80.8,38.9,76.6,48.4,66.8,78.6,83.8
0500000US01121,"Talladega County, Alabama",48.8,20.5,59.0,76.7,76.8,69.8,67.5,56.2,37.0,11.5,7.9,48.9,49.0,N,N,N,N,N,N,49.9,63.9,65.5,62.4,64.9,68.8,64.8,62.9,29.3,75.9,40.0,64.4,40.5,66.3,64.6,88.4
0500000US01125,"Tuscaloosa County, Alabama",58.1,24.7,65.0,75.2,78.6,79.7,76.8,67.3,55.1,23.8,8.2,56.9,61.6,N,N,N,N,N,N,56.9,72.4,76.4,68.7,69.5,71.8,61.2,72.3,35.8,80.1,37.9,73.9,43.7,68.1,77.3,85.6
0500000US04021,"Pinal County, Arizona",45.7,38.2,56.2,54.4,61.4,66.1,68.4,55.1,40.5,15.0,2.0,44.9,55.8,41.0,N,N,N,N,51.3,42.7,59.6,58.6,60.7,61.5,56.1,52.5,68.4,36.7,70.5,32.5,60.0,37.8,55.5,64.2,75.9
0500000US06045,"Mendocino County, California",54.7,31.7,78.8,62.5,59.9,68.1,75.8,75.0,56.7,32.0,11.4,53.8,N,56.9,N,N,N,N,65.5,51.5,68.9,71.8,66.0,67.0,72.3,58.0,70.0,34.8,77.5,29.1,67.7,66.2,65.2,66.1,75.4
0500000US06059,"Orange County, California",62.8,26.8,66.7,81.3,82.2,79.7,80.4,72.9,62.9,28.0,7.0,62.5,64.2,58.6,59.3,N,69.8,67.2,67.8,60.7,76.5,83.0,70.2,66.3,65.1,62.9,67.8,38.1,80.9,47.7,77.7,68.1,74.0,78.2,82.1
0500000US06067,"Sacramento County, California",59.5,25.2,69.5,74.6,77.5,76.2,78.8,68.9,50.9,22.3,4.7,60.0,53.7,N,58.4,64.3,64.4,61.1,64.0,59.0,72.7,77.0,68.5,67.2,68.5,57.1,70.8,36.5,78.5,35.0,73.1,54.6,65.8,73.8,83.7
0500000US12017,"Citrus County, Florida",35.7,29.0,79.5,70.3,68.4,74.7,67.5,43.8,23.1,11.5,4.2,35.0,N,N,N,N,N,N,N,34.8,57.3,62.1,52.9,63.7,62.2,44.3,69.3,27.0,64.9,29.6,55.4,41.1,55.8,51.2,70.8
0500000US17143,"Peoria County, Illinois",57.3,36.2,60.8,71.9,78.2,82.3,79.8,72.2,45.5,20.3,5.3,55.7,60.3,N,N,N,N,N,N,55.4,72.0,73.3,70.7,73.5,68.6,53.6,82.4,30.4,81.1,31.0,73.5,45.6,65.5,77.2,83.1
0500000US18059,"Hancock County, Indiana",63.2,24.8,78.6,79.3,90.7,84.9,82.0,78.7,52.6,19.2,8.2,63.5,N,N,N,N,N,N,N,63.4,79.8,88.0,71.9,N,N,N,N,N,N,N,79.9,51.9,77.7,77.9,89.5
0500000US18067,"Howard County, Indiana",57.8,29.5,80.3,77.8,76.8,81.4,78.1,69.6,54.9,20.7,5.3,57.8,N,N,N,N,N,N,N,57.3,75.1,80.1,70.4,77.9,72.8,75.5,80.2,32.0,81.9,44.4,74.5,39.9,75.4,76.0,87.7
0500000US22105,"Tangipahoa Parish, Louisiana",53.3,43.5,55.0,65.5,77.5,71.3,61.6,62.9,44.1,23.8,4.5,56.6,46.9,N,N,N,N,N,N,56.9,63.3,67.7,59.1,68.0,41.7,79.9,71.5,28.0,71.0,28.7,64.6,48.4,59.7,60.7,89.5
0500000US25003,"Berkshire County, Massachusetts",57.7,37.1,68.1,73.7,83.7,78.1,84.4,77.3,55.1,26.7,10.6,57.4,N,N,N,N,N,N,N,57.1,75.0,74.5,75.4,78.4,85.2,62.0,81.5,43.1,81.0,34.2,75.9,55.0,73.0,72.4,85.6
0500000US27139,"Scott County, Minnesota",72.5,48.4,80.6,76.2,86.3,88.7,86.8,88.9,71.4,27.7,7.0,73.5,N,N,N,N,N,N,N,73.7,84.7,90.5,78.9,80.8,75.8,73.2,85.5,55.8,87.2,55.8,85.1,78.2,75.9,85.1,90.0
0500000US36087,"Rockland County, New York",59.5,26.3,58.3,75.9,72.7,77.9,81.8,76.7,62.3,34.6,9.4,57.3,62.4,N,62.8,N,N,N,67.5,56.1,73.7,77.5,70.0,66.6,71.1,50.7,75.1,44.1,77.8,33.4,75.9,59.8,66.7,76.2,84.4
0500000US36105,"Sullivan County, New York",51.7,15.6,65.9,71.7,72.2,75.7,64.9,61.3,55.5,25.1,8.1,51.9,N,N,N,N,N,N,N,52.3,66.9,67.9,65.7,66.5,56.8,57.1,75.0,31.6,74.6,23.7,67.0,45.9,58.4,77.1,82.6
0500000US37037,"Chatham County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,54.3,N,N,N,N,N,N,N,53.3,N,N,N,N,N,N,N,N,N,N,73.2,56.0,77.2,75.3,74.8
0500000US37085,"Harnett County, North Carolina",50.1,29.3,64.4,56.8,53.1,65.2,68.6,59.2,37.2,17.9,4.1,51.8,42.5,N,N,N,N,N,57.3,51.6,60.2,60.9,59.6,55.8,48.5,33.1,67.2,37.0,64.6,25.0,59.7,54.5,58.7,57.5,67.3
0500000US37195,"Wilson County, North Carolina",58.5,41.3,71.0,87.2,75.8,79.1,76.0,65.2,54.1,29.9,6.8,58.9,58.1,N,N,N,N,N,N,58.9,73.2,75.2,71.5,N,N,N,N,28.8,84.9,33.1,73.4,50.1,65.6,85.9,83.6
0500000US39007,"Ashtabula County, Ohio",51.9,24.5,73.3,57.8,56.1,71.7,70.6,64.2,55.3,22.4,11.4,53.1,N,N,N,N,N,N,N,52.6,65.4,64.7,66.2,67.6,70.4,55.5,70.4,29.3,75.8,24.5,64.5,42.2,62.1,73.5,76.1
0500000US39013,"Belmont County, Ohio",49.2,28.1,52.8,69.9,63.4,63.2,62.9,71.1,58.5,23.5,2.6,51.1,N,N,N,N,N,N,N,51.2,63.4,68.5,57.4,59.8,59.9,43.2,64.3,22.9,74.3,31.8,64.4,24.8,61.6,64.9,88.5
0500000US40031,"Comanche County, Oklahoma",47.4,17.5,51.6,44.1,51.1,63.7,70.1,61.1,45.1,22.9,4.8,48.6,46.2,N,N,N,N,47.1,44.4,49.2,56.6,54.2,59.4,65.5,52.0,59.2,75.2,40.8,65.0,35.2,57.6,32.7,55.9,57.9,69.9
0500000US42013,"Blair County, Pennsylvania",58.0,37.3,61.7,80.4,84.0,87.1,76.9,74.3,55.2,24.8,3.5,58.6,N,N,N,N,N,N,N,58.7,75.6,78.0,73.3,72.8,56.1,74.3,77.2,37.1,82.6,39.2,77.1,51.3,76.0,77.0,87.4
0500000US42039,"Crawford County, Pennsylvania",55.6,41.3,66.5,73.5,73.0,76.4,78.8,66.7,55.6,26.6,4.7,55.9,N,N,N,N,N,N,N,56.2,71.1,78.6,63.8,69.0,69.1,51.7,75.4,40.6,79.2,37.1,71.6,55.4,64.0,75.0,89.7
0500000US42051,"Fayette County, Pennsylvania",53.4,32.9,69.2,72.8,73.2,72.1,76.0,58.8,50.3,22.3,9.4,54.3,N,N,N,N,N,N,N,54.4,68.2,72.4,63.8,67.3,69.1,61.6,68.5,27.7,77.8,32.5,68.1,36.0,61.8,76.2,84.0
0500000US47113,"Madison County, Tennessee",56.9,34.3,64.6,75.0,74.3,74.0,75.4,68.1,54.9,26.1,9.9,58.6,53.5,N,N,N,N,N,N,58.3,70.2,70.8,69.6,70.6,79.4,51.3,74.8,33.6,79.2,29.7,71.0,49.2,64.8,71.7,85.9
0500000US48027,"Bell County, Texas",55.4,29.4,56.9,59.3,70.8,70.5,71.0,61.3,43.4,30.3,9.9,56.6,52.3,N,N,N,N,N,61.0,54.7,64.1,66.9,61.3,62.7,57.0,60.5,66.6,42.6,69.0,32.5,65.3,62.3,62.0,63.9,72.1
0500000US48061,"Cameron County, Texas",52.5,16.0,59.7,71.6,64.8,72.7,73.5,71.5,50.2,16.0,3.2,52.4,N,N,N,N,N,N,54.3,35.9,68.2,74.7,62.2,64.9,67.4,57.6,67.4,45.0,75.1,32.3,69.6,57.0,67.8,75.6,81.7
0500000US49057,"Weber County, Utah",66.1,46.0,80.4,80.3,82.4,82.6,82.1,73.1,51.7,23.8,1.9,66.1,N,N,N,N,N,N,N,65.9,78.2,85.5,70.7,73.7,66.9,65.0,80.5,38.8,82.7,46.8,77.9,66.1,73.3,80.1,84.3
0500000US51165,"Rockingham County, Virginia",61.3,48.2,66.2,87.0,85.1,84.6,81.0,81.9,57.0,23.1,6.6,60.9,N,N,N,N,N,N,N,59.9,77.9,84.1,71.9,77.7,78.3,72.6,79.3,N,N,N,79.3,65.4,79.0,81.5,84.2
0500000US51700,"Newport News city, Virginia",59.7,21.3,42.8,77.6,85.5,82.7,80.3,67.2,61.9,26.1,5.7,55.0,64.1,N,N,N,N,N,63.0,54.9,72.8,74.8,70.9,72.7,57.5,79.5,78.3,38.5,80.1,49.9,77.5,63.4,70.2,78.8,86.0
0500000US51710,"Norfolk city, Virginia",51.7,22.8,38.1,58.3,70.4,69.1,73.6,64.8,47.1,31.2,7.9,52.4,51.3,N,50.7,N,N,N,N,52.1,59.5,54.7,65.3,69.0,59.9,76.8,71.1,41.3,70.8,33.4,65.1,51.6,62.2,66.0,71.7
0500000US51810,"Virginia Beach city, Virginia",60.7,39.9,51.1,69.9,75.2,75.7,78.0,75.5,64.4,30.5,7.7,58.8,64.1,N,61.8,N,N,N,65.8,58.5,71.3,72.2,70.5,69.9,58.2,66.6,76.8,41.1,75.5,50.9,74.0,61.7,69.6,72.8,79.0
0500000US53007,"Chelan County, Washington",N,N,N,N,N,N,N,N,N,N,N,57.7,N,N,N,N,N,N,N,56.8,N,N,N,76.4,74.1,72.6,79.8,N,N,N,78.0,71.8,80.0,73.3,85.9
0500000US01015,"Calhoun County, Alabama",53.0,23.8,62.5,71.0,75.7,81.1,67.3,55.3,56.5,14.6,12.7,54.0,47.9,N,N,N,N,N,N,54.5,68.1,73.8,62.7,63.6,57.4,53.8,74.3,28.7,78.7,31.5,68.8,49.0,64.0,75.9,76.5
0500000US08005,"Arapahoe County, Colorado",68.5,43.6,81.1,83.9,79.3,82.0,85.7,76.0,64.0,32.5,5.9,68.6,66.6,N,69.1,N,72.3,N,74.7,67.1,80.2,84.9,75.6,72.2,71.3,57.5,77.9,46.9,83.5,48.8,80.1,69.1,74.7,80.3,84.8
0500000US13013,"Barrow County, Georgia",62.7,35.7,80.7,70.7,85.3,83.0,80.4,67.5,45.4,17.1,3.0,62.6,N,N,N,N,N,N,N,63.3,76.1,82.8,69.6,69.1,50.8,66.6,75.7,40.2,78.6,24.1,75.5,63.5,74.2,77.7,82.8
0500000US13157,"Jackson County, Georgia",63.8,25.9,90.5,76.9,72.0,85.3,84.1,74.6,56.4,26.1,8.8,65.6,N,N,N,N,N,N,N,65.0,79.2,87.5,71.2,74.0,64.9,57.4,80.8,N,N,N,78.1,61.8,76.6,78.0,89.1
0500000US13245,"Richmond County, Georgia",53.9,24.0,62.4,70.5,71.0,75.0,66.1,70.7,44.8,18.4,3.6,50.2,56.2,N,N,N,N,N,N,51.0,66.5,63.6,69.4,68.5,62.3,62.7,74.3,33.9,77.1,42.1,67.2,47.7,61.5,73.0,77.9
0500000US13285,"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,54.5,N,N,N,N,N,N,N,55.1,N,N,N,N,N,N,N,41.7,78.6,35.9,73.0,42.2,76.5,80.9,80.6
0500000US19061,"Dubuque County, Iowa",63.4,46.5,62.5,92.1,91.6,88.3,84.7,69.4,60.1,29.6,6.8,63.4,N,N,N,N,N,N,N,62.9,79.4,81.6,77.1,87.5,96.0,82.8,86.6,48.1,85.7,32.1,81.7,56.1,75.3,86.8,88.1
0500000US21227,"Warren County, Kentucky",64.8,51.9,79.8,81.4,78.2,80.8,76.8,77.8,43.5,32.1,8.2,65.6,68.5,N,N,N,N,N,N,65.8,76.1,82.1,70.2,72.9,64.7,72.1,76.8,52.4,82.1,49.5,75.3,65.3,70.3,76.0,82.7
0500000US27019,"Carver County, Minnesota",69.6,27.2,59.3,90.1,89.8,92.2,90.6,85.9,58.2,26.0,7.5,70.2,N,N,N,N,N,N,N,70.1,84.3,85.9,82.7,86.8,89.0,77.1,90.2,N,N,N,87.0,41.9,78.9,88.6,90.0
0500000US28075,"Lauderdale County, Mississippi",49.0,35.5,48.4,65.0,62.2,70.0,63.6,54.3,52.6,15.6,8.2,54.4,41.7,N,N,N,N,N,N,54.1,61.2,63.5,58.9,62.5,54.5,41.4,72.0,33.7,75.0,30.6,62.6,27.3,48.0,73.0,74.8
0500000US28081,"Lee County, Mississippi",57.3,46.7,51.6,73.7,66.9,73.6,80.8,59.5,64.4,17.5,2.3,56.1,63.1,N,N,N,N,N,N,54.4,69.7,77.1,62.8,70.1,64.7,61.4,76.8,22.7,76.0,36.2,71.7,48.2,67.3,70.8,89.1
0500000US28121,"Rankin County, Mississippi",61.8,20.4,62.5,83.9,76.9,79.6,79.6,68.9,68.3,27.3,7.7,62.3,61.8,N,N,N,N,N,N,62.6,75.8,76.4,75.2,N,N,N,N,35.4,84.2,44.8,77.3,44.2,68.3,83.8,87.5
0500000US36111,"Ulster County, New York",58.7,40.2,59.6,81.1,78.0,73.7,77.6,68.6,68.2,29.1,7.0,59.8,N,N,N,N,N,N,N,60.0,72.8,70.8,74.9,79.2,69.6,77.7,84.3,38.1,82.9,47.9,74.6,57.6,70.9,75.8,81.7
0500000US37183,"Wake County, North Carolina",68.2,27.1,69.8,85.9,85.0,84.7,85.8,78.1,59.2,28.3,7.4,67.7,68.7,N,67.8,N,N,69.4,73.5,67.5,80.8,86.8,75.1,73.0,72.9,59.5,77.8,50.4,84.2,47.1,82.1,65.9,72.9,80.3,86.6
