id,Geographic Area Name,Labor Force Participation Rate
0500000US01117,"Shelby County, Alabama",64.1
0500000US01121,"Talladega County, Alabama",53.5
0500000US01125,"Tuscaloosa County, Alabama",60.7
0500000US04021,"Pinal County, Arizona",49.3
0500000US06045,"Mendocino County, California",58.4
0500000US06059,"Orange County, California",65.5
0500000US06067,"Sacramento County, California",63.1
0500000US12017,"Citrus County, Florida",38.3
0500000US17143,"Peoria County, Illinois",61.0
0500000US18059,"Hancock County, Indiana",65.2
0500000US18067,"Howard County, Indiana",60.2
0500000US22105,"Tangipahoa Parish, Louisiana",58.6
0500000US25003,"Berkshire County, Massachusetts",60.5
0500000US27139,"Scott County, Minnesota",74.8
0500000US36087,"Rockland County, New York",62.9
0500000US36105,"Sullivan County, New York",55.6
0500000US37037,"Chatham County, North Carolina",N
0500000US37085,"Harnett County, North Carolina",57.7
0500000US37195,"Wilson County, North Carolina",62.7
0500000US39007,"Ashtabula County, Ohio",56.7
0500000US39013,"Belmont County, Ohio",51.4
0500000US40031,"Comanche County, Oklahoma",60.8
0500000US42013,"Blair County, Pennsylvania",60.5
0500000US42039,"Crawford County, Pennsylvania",58.8
0500000US42051,"Fayette County, Pennsylvania",56.5
0500000US47113,"Madison County, Tennessee",60.2
0500000US48027,"Bell County, Texas",65.4
0500000US48061,"Cameron County, Texas",55.4
0500000US49057,"Weber County, Utah",68.6
0500000US51165,"Rockingham County, Virginia",62.4
0500000US51700,"Newport News city, Virginia",66.7
0500000US51710,"Norfolk city, Virginia",69.3
0500000US51810,"Virginia Beach city, Virginia",69.6
0500000US53007,"Chelan County, Washington",N
0500000US01015,"Calhoun County, Alabama",57.9
0500000US08005,"Arapahoe County, Colorado",71.5
0500000US13013,"Barrow County, Georgia",66.1
0500000US13157,"Jackson County, Georgia",65.2
0500000US13245,"Richmond County, Georgia",61.2
0500000US13285,"Troup County, Georgia",N
0500000US19061,"Dubuque County, Iowa",65.6
0500000US21227,"Warren County, Kentucky",67.5
0500000US27019,"Carver County, Minnesota",70.9
0500000US28075,"Lauderdale County, Mississippi",54.7
0500000US28081,"Lee County, Mississippi",62.3
0500000US28121,"Rankin County, Mississippi",64.5
0500000US36111,"Ulster County, New York",61.4
0500000US37183,"Wake County, North Carolina",70.6
0500000US39093,"Lorain County, Ohio",61.4
0500000US40119,"Payne County, Oklahoma",57.3
0500000US40131,"Rogers County, Oklahoma",61.7
0500000US42081,"Lycoming County, Pennsylvania",58.4
0500000US45015,"Berkeley County, South Carolina",64.9
0500000US45085,"Sumter County, South Carolina",59.1
0500000US47147,"Robertson County, Tennessee",66.3
0500000US48085,"Collin County, Texas",70.6
0500000US49045,"Tooele County, Utah",N
0500000US53041,"Lewis County, Washington",53.1
0500000US53053,"Pierce County, Washington",65.4
0500000US54061,"Monongalia County, West Virginia",62.8
0500000US55009,"Brown County, Wisconsin",67.9
0500000US06115,"Yuba County, California",58.6
0500000US13051,"Chatham County, Georgia",66.0
0500000US13063,"Clayton County, Georgia",66.0
0500000US13113,"Fayette County, Georgia",61.3
0500000US13223,"Paulding County, Georgia",67.3
0500000US17043,"DuPage County, Illinois",69.6
0500000US17089,"Kane County, Illinois",68.9
0500000US18089,"Lake County, Indiana",61.6
0500000US21059,"Daviess County, Kentucky",61.5
0500000US21185,"Oldham County, Kentucky",63.6
0500000US25009,"Essex County, Massachusetts",67.7
0500000US26163,"Wayne County, Michigan",59.1
0500000US29165,"Platte County, Missouri",70.0
0500000US36053,"Madison County, New York",60.9
0500000US37159,"Rowan County, North Carolina",61.2
0500000US39029,"Columbiana County, Ohio",56.5
0500000US41059,"Umatilla County, Oregon",58.8
0500000US42045,"Delaware County, Pennsylvania",64.7
0500000US42073,"Lawrence County, Pennsylvania",59.4
0500000US47157,"Shelby County, Tennessee",64.2
0500000US04003,"Cochise County, Arizona",48.9
0500000US04005,"Coconino County, Arizona",61.6
0500000US06023,"Humboldt County, California",63.1
0500000US06039,"Madera County, California",56.0
0500000US12097,"Osceola County, Florida",64.6
0500000US13059,"Clarke County, Georgia",58.7
0500000US13313,"Whitfield County, Georgia",63.2
0500000US16019,"Bonneville County, Idaho",61.9
0500000US22109,"Terrebonne Parish, Louisiana",57.7
0500000US24015,"Cecil County, Maryland",66.4
0500000US24037,"St. Mary's County, Maryland",66.3
