id,Geographic Area Name,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Population 20 to 64 years,Male,Female,With own children under 18 years,With own children under 6 years only,With own children under 6 years and 6 to 17 years,With own children 6 to 17 years only,Below poverty level,At or above the poverty level,With any disability,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
0500000US01117,"Shelby County, Alabama",173097,11580,12128,14154,12736,31044,30165,14192,13803,20352,12943,139697,21241,N,N,N,N,N,N,135737,128222,62360,65862,24504,5566,3763,15175,11143,115462,11773,116094,8263,20249,38173,49409
0500000US01121,"Talladega County, Alabama",65419,4902,4242,5479,4388,10014,10796,5119,6057,8757,5665,42887,21348,N,N,N,N,N,N,41877,46095,22712,23383,8866,2477,1950,4439,8474,35518,9481,41853,7199,13973,14637,6044
0500000US01125,"Tuscaloosa County, Alabama",170265,19694,19909,16977,14200,24947,23240,11866,11960,16811,10661,113167,52414,N,N,N,N,N,N,107889,123099,59266,63833,22872,5751,5416,11705,20010,101647,12932,103190,9957,30478,31676,31079
0500000US04021,"Pinal County, Arizona",356563,20770,26780,26290,29818,59352,49111,25808,27809,55006,35819,291140,16280,16149,N,N,N,N,98462,213883,244968,131178,113790,45243,10023,11946,23274,26302,193148,28475,218188,29448,67328,83336,38076
0500000US06045,"Mendocino County, California",71461,4713,5363,3593,5010,10221,10449,6144,6896,12320,6752,61014,N,2999,N,N,N,N,15495,49380,47676,24239,23437,7501,687,2014,4800,8549,38583,7737,42313,5426,11781,16773,8333
0500000US06059,"Orange County, California",2571255,166062,210595,243175,216675,413319,445819,216108,188276,266534,204692,1574995,50232,11096,558879,N,289132,78354,800458,1099061,1933967,964638,969329,324484,68118,59072,197294,177560,1742969,106333,1723372,233654,289126,478414,722178
0500000US06067,"Sacramento County, California",1215153,73411,96515,123506,117870,205883,191894,95497,93133,128232,89212,715403,120162,N,199914,14460,86987,67971,256299,573651,924298,455364,468934,164633,34362,37596,92675,112797,802362,80553,827783,91649,181682,292723,261729
0500000US12017,"Citrus County, Florida",128567,5024,5444,6515,5665,11427,16150,10063,14447,29459,24373,119429,N,N,N,N,N,N,N,114025,69711,33505,36206,7897,1837,1262,4798,11627,56727,13392,64267,6828,25011,20800,11628
0500000US17143,"Peoria County, Illinois",143086,9608,11909,11865,12177,21819,21719,11092,12696,17450,12751,109092,22824,N,N,N,N,N,N,105073,103277,50857,52420,17987,4162,3603,10222,16869,84325,10562,91368,7740,23593,30269,29766
0500000US18059,"Hancock County, Indiana",60569,3000,4343,4937,4637,10027,10427,6172,4078,8105,4843,56655,N,N,N,N,N,N,N,56429,44621,21875,22746,N,N,N,N,N,N,N,40278,2754,12030,12144,13350
0500000US18067,"Howard County, Indiana",65655,3517,4583,4970,5157,9664,10519,6082,5246,9014,6903,58485,N,N,N,N,N,N,N,57115,46221,22382,23839,8438,1222,2288,4928,5311,40295,7014,41638,4577,13555,13976,9530
0500000US22105,"Tangipahoa Parish, Louisiana",104241,7599,9972,10186,7866,16487,16664,8599,7781,12006,7081,71890,29757,N,N,N,N,N,N,68596,77555,37996,39559,11832,2201,2902,6729,12393,63608,13733,67583,7966,25609,20637,13371
0500000US25003,"Berkshire County, Massachusetts",108235,6709,8430,6956,6738,12813,16737,9994,10619,16618,12621,99030,N,N,N,N,N,N,N,96805,72287,35771,36516,9279,1447,1727,6105,7506,61532,7933,63857,4099,17897,20280,21581
0500000US27139,"Scott County, Minnesota",111438,7991,7941,7766,10007,21949,22029,10080,7383,9855,6437,96250,N,N,N,N,N,N,N,92524,87155,42970,44185,19719,4629,3940,11150,4844,81503,5135,79214,2771,15608,28259,32576
0500000US36087,"Rockland County, New York",243733,18389,21799,19494,17307,36443,39698,19836,19658,27953,23156,173398,32015,N,16651,N,N,N,42060,151491,174235,86424,87811,35177,6887,11113,17177,19233,153072,12131,152436,14826,34944,38243,64423
0500000US36105,"Sullivan County, New York",61869,4793,3693,4397,4065,8507,11018,5987,5211,8370,5828,50302,N,N,N,N,N,N,N,45091,42878,22225,20653,7519,1578,1992,3949,6121,35830,7381,39185,5433,14466,11434,7852
0500000US37037,"Chatham County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,49226,N,N,N,N,N,N,N,44985,N,N,N,N,N,N,N,N,N,N,35341,4073,6937,9241,15090
0500000US37085,"Harnett County, North Carolina",103270,7518,8640,10104,10018,18632,16693,7945,6679,10179,6862,72157,20938,N,N,N,N,N,11222,65692,78711,39802,38909,14634,2443,3578,8613,9240,67411,10391,70071,7988,20435,25985,15663
0500000US37195,"Wilson County, North Carolina",64386,5204,3801,4726,4810,9674,9937,5484,5946,8875,5929,33313,25606,N,N,N,N,N,N,32171,44378,20298,24080,N,N,N,N,8819,35167,6124,40577,6808,11970,12770,9029
0500000US39007,"Ashtabula County, Ohio",78547,4254,5759,5920,5219,10564,13418,6912,7932,10840,7729,73584,N,N,N,N,N,N,N,71075,55724,28690,27034,7016,1448,1301,4267,9102,44569,7171,49965,7619,20427,13789,8130
0500000US39013,"Belmont County, Ohio",55885,2668,3340,4519,3697,7821,8749,5003,5738,8320,6030,52263,N,N,N,N,N,N,N,52157,38867,20757,18110,5208,1171,862,3175,4356,31782,4307,35527,2960,13686,12721,6160
0500000US40031,"Comanche County, Oklahoma",94540,6308,11095,10691,8652,14714,13931,6759,7167,8942,6281,61202,13569,N,N,N,N,9674,11135,55332,73009,38517,34492,13128,3685,2659,6784,9704,57397,13895,61914,6408,19695,20961,14850
0500000US42013,"Blair County, Pennsylvania",101683,6589,6721,7855,6828,13879,16548,9566,8204,14160,11333,96861,N,N,N,N,N,N,N,96206,69601,34235,35366,11053,1988,2558,6507,10413,59049,10825,62880,3978,27356,18320,13226
0500000US42039,"Crawford County, Pennsylvania",69543,4717,5358,4667,4532,9047,10973,6084,6609,10388,7168,66930,N,N,N,N,N,N,N,66237,47270,23137,24133,7193,1455,1560,4178,6134,38614,7820,41912,3363,18690,10939,8920
0500000US42051,"Fayette County, Pennsylvania",108658,5337,6704,8375,7964,14970,17514,9559,10543,15618,12074,101221,N,N,N,N,N,N,N,100737,75629,38649,36980,12530,3022,2425,7083,10003,62772,11765,68925,5971,29589,19241,14124
0500000US47113,"Madison County, Tennessee",78437,5575,7192,6800,5924,10893,12231,5940,7301,9864,6717,46661,28308,N,N,N,N,N,N,45856,56281,26163,30118,9900,2353,2254,5293,9121,45313,6877,49089,4992,15305,15956,12836
0500000US48027,"Bell County, Texas",267437,20533,30215,31941,26320,46164,39044,19059,15502,23177,15482,173955,65200,N,N,N,N,N,62283,128065,208245,103995,104250,40863,10323,9836,20704,22579,177899,29972,178030,15162,46661,72292,43915
0500000US48061,"Cameron County, Texas",310656,29116,30836,28519,23356,52463,47248,23778,17334,32361,25645,295646,N,N,N,N,N,N,273952,32199,223534,107931,115603,51205,8325,13367,29513,49822,173006,19460,192698,50199,56004,51481,35014
0500000US49057,"Weber County, Utah",191379,14302,17847,20121,18349,35776,27627,14766,13029,18226,11336,171527,N,N,N,N,N,N,N,148600,147515,74746,72769,29465,6394,7255,15816,11859,133907,14189,129668,12347,35431,50552,31338
0500000US51165,"Rockingham County, Virginia",65809,4997,4969,4652,4679,9240,11050,4622,6391,8363,6846,62815,N,N,N,N,N,N,N,59030,45603,22434,23169,8297,1707,1662,4928,N,N,N,40634,4994,14831,10086,10723
0500000US51700,"Newport News city, Virginia",140997,10658,14645,15536,13689,21431,20269,10376,10976,13718,9699,71746,56764,N,N,N,N,N,11088,64868,106922,51272,55650,17948,5056,3689,9203,12697,90462,14341,92277,5821,25627,33845,26984
0500000US51710,"Norfolk city, Virginia",200900,15156,32698,26753,20191,28127,23950,13468,13286,16571,10700,98373,79234,N,7930,N,N,N,N,91569,158473,86051,72422,22004,6303,4130,11571,21508,119308,17809,125775,15600,27883,44725,37567
0500000US51810,"Virginia Beach city, Virginia",362105,20729,32323,38592,36018,59414,55363,29495,26320,37443,26408,243661,69797,N,26759,N,N,N,27276,228725,277525,138295,139230,49523,12931,10022,26570,18062,252093,26222,245202,12531,47925,91091,93655
0500000US53007,"Chelan County, Washington",N,N,N,N,N,N,N,N,N,N,N,47804,N,N,N,N,N,N,N,44439,N,N,N,8876,1481,3053,4342,N,N,N,38873,7694,10249,10828,10102
0500000US01015,"Calhoun County, Alabama",93284,6661,7451,8612,7661,12608,13616,8305,7855,12240,8275,70466,19360,N,N,N,N,N,N,68962,66108,31988,34120,11100,2268,3900,4932,12575,52182,13132,58657,7541,18609,21336,11171
0500000US08005,"Arapahoe County, Colorado",516120,31569,39638,51248,50908,93114,84990,41200,38444,53847,31162,382507,57233,N,31443,N,22631,N,88958,323886,399542,199433,200109,74829,17905,15334,41590,29921,367007,31788,359904,27426,77824,99896,154758
0500000US13013,"Barrow County, Georgia",62605,4573,5039,5771,5486,10802,11468,5240,3983,6657,3586,49843,N,N,N,N,N,N,N,45308,47789,23418,24371,9864,1729,2390,5745,3164,44625,5269,42750,5837,13719,15651,7543
0500000US13157,"Jackson County, Georgia",55402,4446,3664,4050,5057,9174,10669,4363,3735,5979,4265,48056,N,N,N,N,N,N,N,44959,40712,19951,20761,8150,1546,1306,5298,N,N,N,37048,4798,11780,11794,8676
0500000US13245,"Richmond County, Georgia",160792,12249,15988,18029,14966,24129,22214,10871,14198,17357,10791,62433,88390,N,N,N,N,N,N,57867,120395,59172,61223,17370,4408,4222,8740,20022,94143,18747,104407,14129,31678,34755,23845
0500000US13285,"Troup County, Georgia",N,N,N,N,N,N,N,N,N,N,N,33076,N,N,N,N,N,N,N,31762,N,N,N,N,N,N,N,8183,31595,5676,34445,5539,12191,11697,5018
0500000US19061,"Dubuque County, Iowa",77985,6007,6622,6808,5798,10467,11123,7300,6419,9518,7923,73091,N,N,N,N,N,N,N,71646,54537,28093,26444,9456,1912,2576,4968,6882,46185,6161,47915,2710,15496,14284,15425
