STNAME,CTYNAME,TOT_POP
Alabama,Autauga County,55601
Alabama,Autauga County,3364
Alabama,Autauga County,3423
Alabama,Autauga County,3882
Alabama,Autauga County,3755
Alabama,Autauga County,3173
Alabama,Autauga County,3705
Alabama,Autauga County,3461
Alabama,Autauga County,3628
Alabama,Autauga County,3616
Alabama,Autauga County,3966
Alabama,Autauga County,3811
Alabama,Autauga County,3927
Alabama,Autauga County,3237
Alabama,Autauga County,2589
Alabama,Autauga County,2311
Alabama,Autauga County,1739
Alabama,Autauga County,1143
Alabama,Autauga County,871
Alabama,Baldwin County,218022
Alabama,Baldwin County,11955
Alabama,Baldwin County,12802
Alabama,Baldwin County,13981
Alabama,Baldwin County,12932
Alabama,Baldwin County,11108
Alabama,Baldwin County,12471
Alabama,Baldwin County,12057
Alabama,Baldwin County,13156
Alabama,Baldwin County,12877
Alabama,Baldwin County,14461
Alabama,Baldwin County,14242
Alabama,Baldwin County,15744
Alabama,Baldwin County,15665
Alabama,Baldwin County,14267
Alabama,Baldwin County,12471
Alabama,Baldwin County,8465
Alabama,Baldwin County,5064
Alabama,Baldwin County,4304
Alabama,Barbour County,24881
Alabama,Barbour County,1284
Alabama,Barbour County,1448
Alabama,Barbour County,1509
Alabama,Barbour County,1451
Alabama,Barbour County,1472
Alabama,Barbour County,1796
Alabama,Barbour County,1670
Alabama,Barbour County,1531
Alabama,Barbour County,1450
Alabama,Barbour County,1624
Alabama,Barbour County,1603
Alabama,Barbour County,1675
Alabama,Barbour County,1536
Alabama,Barbour County,1540
Alabama,Barbour County,1337
Alabama,Barbour County,907
Alabama,Barbour County,576
Alabama,Barbour County,472
Alabama,Bibb County,22400
Alabama,Bibb County,1285
Alabama,Bibb County,1171
Alabama,Bibb County,1326
Alabama,Bibb County,1270
Alabama,Bibb County,1303
Alabama,Bibb County,1726
Alabama,Bibb County,1601
Alabama,Bibb County,1512
Alabama,Bibb County,1440
Alabama,Bibb County,1598
Alabama,Bibb County,1581
Alabama,Bibb County,1534
Alabama,Bibb County,1363
Alabama,Bibb County,1182
Alabama,Bibb County,992
Alabama,Bibb County,731
Alabama,Bibb County,422
Alabama,Bibb County,363
Alabama,Blount County,57840
Alabama,Blount County,3460
Alabama,Blount County,3635
Alabama,Blount County,3902
Alabama,Blount County,3668
Alabama,Blount County,3178
Alabama,Blount County,3564
Alabama,Blount County,3370
Alabama,Blount County,3514
Alabama,Blount County,3553
Alabama,Blount County,3921
Alabama,Blount County,3897
Alabama,Blount County,3947
Alabama,Blount County,3683
Alabama,Blount County,3282
Alabama,Blount County,2961
Alabama,Blount County,1970
Alabama,Blount County,1303
Alabama,Blount County,1032
