id,Geographic Area Name,Total,Below poverty level,Percent below poverty level
0500000US01117,"Shelby County, Alabama",211940,17492,8.3
0500000US01121,"Talladega County, Alabama",76270,14903,19.5
0500000US01125,"Tuscaloosa County, Alabama",198260,32904,16.6
0500000US04021,"Pinal County, Arizona",418346,52134,12.5
0500000US06045,"Mendocino County, California",85879,16317,19.0
0500000US06059,"Orange County, California",3148187,329078,10.5
0500000US06067,"Sacramento County, California",1522720,217412,14.3
0500000US12017,"Citrus County, Florida",145414,22031,15.2
0500000US17143,"Peoria County, Illinois",175616,29927,17.0
0500000US18059,"Hancock County, Indiana",75021,4377,5.8
0500000US18067,"Howard County, Indiana",80684,9074,11.2
0500000US22105,"Tangipahoa Parish, Louisiana",130144,21220,16.3
0500000US25003,"Berkshire County, Massachusetts",119676,12978,10.8
0500000US27139,"Scott County, Minnesota",145061,9408,6.5
0500000US36087,"Rockland County, New York",321255,47051,14.6
0500000US36105,"Sullivan County, New York",73664,11505,15.6
0500000US37037,"Chatham County, North Carolina",72501,6530,9.0
0500000US37085,"Harnett County, North Carolina",130513,18587,14.2
0500000US37195,"Wilson County, North Carolina",79823,17637,22.1
0500000US39007,"Ashtabula County, Ohio",94220,16812,17.8
0500000US39013,"Belmont County, Ohio",63700,6951,10.9
0500000US40031,"Comanche County, Oklahoma",110499,17917,16.2
0500000US42013,"Blair County, Pennsylvania",119657,17283,14.4
0500000US42039,"Crawford County, Pennsylvania",81267,10214,12.6
0500000US42051,"Fayette County, Pennsylvania",125689,17033,13.6
0500000US47113,"Madison County, Tennessee",93747,16973,18.1
0500000US48027,"Bell County, Texas",343548,43964,12.8
0500000US48061,"Cameron County, Texas",420857,118421,28.1
0500000US49057,"Weber County, Utah",252723,23513,9.3
0500000US51165,"Rockingham County, Virginia",79468,6540,8.2
0500000US51700,"Newport News city, Virginia",169671,24435,14.4
0500000US51710,"Norfolk city, Virginia",217816,38869,17.8
0500000US51810,"Virginia Beach city, Virginia",439051,30243,6.9
0500000US53007,"Chelan County, Washington",76201,7475,9.8
0500000US01015,"Calhoun County, Alabama",111061,22752,20.5
0500000US08005,"Arapahoe County, Colorado",645350,52392,8.1
0500000US13013,"Barrow County, Georgia",80449,6630,8.2
0500000US13157,"Jackson County, Georgia",69412,3290,4.7
0500000US13245,"Richmond County, Georgia",190976,39411,20.6
0500000US13285,"Troup County, Georgia",68298,14875,21.8
0500000US19061,"Dubuque County, Iowa",93086,11456,12.3
0500000US21227,"Warren County, Kentucky",122943,21157,17.2
0500000US27019,"Carver County, Minnesota",102743,3058,3.0
0500000US28075,"Lauderdale County, Mississippi",72141,19817,27.5
0500000US28081,"Lee County, Mississippi",84293,9556,11.3
0500000US28121,"Rankin County, Mississippi",148000,12283,8.3
0500000US36111,"Ulster County, New York",170477,25515,15.0
0500000US37183,"Wake County, North Carolina",1071013,89510,8.4
0500000US39093,"Lorain County, Ohio",299836,43658,14.6
0500000US40119,"Payne County, Oklahoma",73834,18263,24.7
0500000US40131,"Rogers County, Oklahoma",90220,9130,10.1
0500000US42081,"Lycoming County, Pennsylvania",106012,13662,12.9
0500000US45015,"Berkeley County, South Carolina",216935,28687,13.2
0500000US45085,"Sumter County, South Carolina",103395,19077,18.5
0500000US47147,"Robertson County, Tennessee",70022,7610,10.9
0500000US48085,"Collin County, Texas",997405,66394,6.7
0500000US49045,"Tooele County, Utah",69323,4743,6.8
0500000US53041,"Lewis County, Washington",78661,8702,11.1
0500000US53053,"Pierce County, Washington",875951,74087,8.5
0500000US54061,"Monongalia County, West Virginia",100655,19679,19.6
0500000US55009,"Brown County, Wisconsin",255746,21248,8.3
0500000US06115,"Yuba County, California",76394,13449,17.6
0500000US13051,"Chatham County, Georgia",278029,37295,13.4
0500000US13063,"Clayton County, Georgia",282949,47970,17.0
0500000US13113,"Fayette County, Georgia",112378,3390,3.0
0500000US13223,"Paulding County, Georgia",162820,12045,7.4
0500000US17043,"DuPage County, Illinois",914854,59492,6.5
0500000US17089,"Kane County, Illinois",527933,44277,8.4
0500000US18089,"Lake County, Indiana",478813,72603,15.2
0500000US21059,"Daviess County, Kentucky",98628,15853,16.1
0500000US21185,"Oldham County, Kentucky",63086,4111,6.5
0500000US25009,"Essex County, Massachusetts",774049,83165,10.7
0500000US26163,"Wayne County, Michigan",1733848,374511,21.6
0500000US29165,"Platte County, Missouri",102388,5564,5.4
0500000US36053,"Madison County, New York",65324,5914,9.1
0500000US37159,"Rowan County, North Carolina",136456,24286,17.8
0500000US39029,"Columbiana County, Ohio",98445,14751,15.0
0500000US41059,"Umatilla County, Oregon",72869,12811,17.6
0500000US42045,"Delaware County, Pennsylvania",543740,46534,8.6
0500000US42073,"Lawrence County, Pennsylvania",84107,14058,16.7
0500000US47157,"Shelby County, Tennessee",919075,199494,21.7
0500000US04003,"Cochise County, Arizona",119305,16033,13.4
0500000US04005,"Coconino County, Arizona",129038,20243,15.7
0500000US06023,"Humboldt County, California",132985,27977,21.0
0500000US06039,"Madera County, California",149208,31191,20.9
0500000US12097,"Osceola County, Florida",365572,49312,13.5
0500000US13059,"Clarke County, Georgia",116178,31955,27.5
0500000US13313,"Whitfield County, Georgia",102783,14741,14.3
0500000US16019,"Bonneville County, Idaho",115829,11972,10.3
0500000US22109,"Terrebonne Parish, Louisiana",109489,17689,16.2
0500000US24015,"Cecil County, Maryland",101507,6309,6.2
0500000US24037,"St. Mary's County, Maryland",109795,8949,8.2
0500000US25001,"Barnstable County, Massachusetts",210328,15926,7.6
0500000US25021,"Norfolk County, Massachusetts",685819,45143,6.6
0500000US27163,"Washington County, Minnesota",255266,9415,3.7
0500000US34033,"Salem County, New Jersey",61071,7090,11.6
0500000US34035,"Somerset County, New Jersey",327508,15083,4.6
0500000US36081,"Queens County, New York",2250553,258221,11.5
0500000US36119,"Westchester County, New York",943875,76958,8.2
0500000US37109,"Lincoln County, North Carolina",82783,8324,10.1
0500000US42003,"Allegheny County, Pennsylvania",1187205,139848,11.8
0500000US45035,"Dorchester County, South Carolina",158412,19340,12.2
0500000US48231,"Hunt County, Texas",93804,11884,12.7
0500000US51650,"Hampton city, Virginia",129333,19971,15.4
0500000US01077,"Lauderdale County, Alabama",90384,11899,13.2
0500000US09011,"New London County, Connecticut",255099,25701,10.1
0500000US17167,"Sangamon County, Illinois",190831,25651,13.4
0500000US21111,"Jefferson County, Kentucky",751545,115531,15.4
0500000US21151,"Madison County, Kentucky",86301,13994,16.2
0500000US22015,"Bossier Parish, Louisiana",125524,19006,15.1
0500000US24009,"Calvert County, Maryland",91250,3731,4.1
0500000US26025,"Calhoun County, Michigan",130678,23557,18.0
0500000US34025,"Monmouth County, New Jersey",615667,40657,6.6
0500000US37119,"Mecklenburg County, North Carolina",1077563,126135,11.7
0500000US39055,"Geauga County, Ohio",92689,4739,5.1
0500000US39119,"Muskingum County, Ohio",83477,14648,17.5
0500000US41043,"Linn County, Oregon",124602,15649,12.6
0500000US42017,"Bucks County, Pennsylvania",619788,34150,5.5
0500000US42095,"Northampton County, Pennsylvania",292879,30463,10.4
0500000US45075,"Orangeburg County, South Carolina",83544,22068,26.4
0500000US48029,"Bexar County, Texas",1952157,337228,17.3
0500000US48091,"Comal County, Texas",147197,8976,6.1
0500000US48361,"Orange County, Texas",82529,9079,11.0
0500000US48497,"Wise County, Texas",67384,6051,9.0
0500000US53009,"Clallam County, Washington",75740,10123,13.4
0500000US72021,"Bayamón Municipio, Puerto Rico",166308,58260,35.0
0500000US72137,"Toa Baja Municipio, Puerto Rico",74137,27368,36.9
0500000US04025,"Yavapai County, Arizona",226881,30007,13.2
0500000US13097,"Douglas County, Georgia",143523,19122,13.3
0500000US13135,"Gwinnett County, Georgia",922124,82456,8.9
0500000US15007,"Kauai County, Hawaii",71341,4549,6.4
0500000US16027,"Canyon County, Idaho",219912,24251,11.0
0500000US18019,"Clark County, Indiana",115294,14155,12.3
0500000US19013,"Black Hawk County, Iowa",127354,21726,17.1
0500000US21015,"Boone County, Kentucky",129864,5971,4.6
0500000US22051,"Jefferson Parish, Louisiana",430094,65664,15.3
0500000US23031,"York County, Maine",201870,18083,9.0
0500000US24027,"Howard County, Maryland",320987,16304,5.1
0500000US24031,"Montgomery County, Maryland",1042883,72305,6.9
0500000US27053,"Hennepin County, Minnesota",1238710,125008,10.1
0500000US28067,"Jones County, Mississippi",66816,12598,18.9
0500000US29510,"St. Louis city, Missouri",294353,65085,22.1
0500000US34013,"Essex County, New Jersey",779167,118156,15.2
0500000US34021,"Mercer County, New Jersey",355087,39873,11.2
0500000US36113,"Warren County, New York",63494,6879,10.8
0500000US36117,"Wayne County, New York",89116,7765,8.7
0500000US37129,"New Hanover County, North Carolina",225559,35100,15.6
0500000US39081,"Jefferson County, Ohio",63448,12668,20.0
0500000US42085,"Mercer County, Pennsylvania",103242,16277,15.8
0500000US42111,"Somerset County, Pennsylvania",68778,7259,10.6
0500000US51800,"Suffolk city, Virginia",90460,8955,9.9
0500000US53033,"King County, Washington",2201821,204028,9.3
0500000US54033,"Harrison County, West Virginia",65572,12367,18.9
0500000US06111,"Ventura County, California",838307,74532,8.9
0500000US09005,"Litchfield County, Connecticut",178648,12134,6.8
0500000US09007,"Middlesex County, Connecticut",157215,10349,6.6
0500000US12023,"Columbia County, Florida",65554,9720,14.8
0500000US13047,"Catoosa County, Georgia",66348,6884,10.4
0500000US13247,"Rockdale County, Georgia",89356,10500,11.8
0500000US13297,"Walton County, Georgia",92277,11621,12.6
0500000US16005,"Bannock County, Idaho",85289,11255,13.2
0500000US24003,"Anne Arundel County, Maryland",559510,39678,7.1
0500000US28033,"DeSoto County, Mississippi",179872,15823,8.8
0500000US29097,"Jasper County, Missouri",118336,20601,17.4
0500000US30029,"Flathead County, Montana",101399,11015,10.9
0500000US35001,"Bernalillo County, New Mexico",669362,112174,16.8
0500000US36005,"Bronx County, New York",1397994,383486,27.4
0500000US37019,"Brunswick County, North Carolina",135905,12657,9.3
0500000US37021,"Buncombe County, North Carolina",252525,27387,10.8
0500000US37127,"Nash County, North Carolina",92017,10260,11.2
0500000US37193,"Wilkes County, North Carolina",67616,14026,20.7
0500000US39035,"Cuyahoga County, Ohio",1218045,215558,17.7
0500000US39061,"Hamilton County, Ohio",798445,122565,15.4
0500000US39165,"Warren County, Ohio",223346,11277,5.0
0500000US40017,"Canadian County, Oklahoma",141976,9646,6.8
0500000US42029,"Chester County, Pennsylvania",508569,35449,7.0
0500000US42077,"Lehigh County, Pennsylvania",358431,43975,12.3
0500000US45063,"Lexington County, South Carolina",291905,37980,13.0
0500000US47119,"Maury County, Tennessee",93205,9700,10.4
0500000US47189,"Wilson County, Tennessee",138547,11421,8.2
0500000US48203,"Harrison County, Texas",65409,7354,11.2
0500000US51041,"Chesterfield County, Virginia",344691,27083,7.9
0500000US55131,"Washington County, Wisconsin",135033,4814,3.6
0500000US09003,"Hartford County, Connecticut",873964,97228,11.1
0500000US12033,"Escambia County, Florida",297104,41418,13.9
0500000US18039,"Elkhart County, Indiana",201449,23880,11.9
0500000US18109,"Morgan County, Indiana",68993,7749,11.2
0500000US19049,"Dallas County, Iowa",89591,6616,7.4
0500000US23011,"Kennebec County, Maine",118601,12351,10.4
