County,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New York,"19,378,102","19,378,144","19,399,878","19,499,241","19,572,932","19,624,447","19,651,049","19,654,666","19,633,428","19,589,572","19,530,351","19,453,561"
".Albany County, New York","304,204","304,208","304,086","304,596","305,723","306,589","307,151","307,433","307,597","307,717","306,585","305,506"
".Allegany County, New York","48,946","48,923","48,971","48,800","48,210","47,900","47,652","47,334","47,044","46,639","46,332","46,091"
".Bronx County, New York","1,385,108","1,384,580","1,387,298","1,397,335","1,411,496","1,421,928","1,430,942","1,440,005","1,444,417","1,440,625","1,432,087","1,418,207"
".Broome County, New York","200,600","200,675","200,481","199,363","198,667","197,914","197,251","195,928","194,498","193,100","191,925","190,488"
".Cattaraugus County, New York","80,317","80,337","80,218","79,815","79,348","78,996","78,677","77,926","77,658","77,176","76,726","76,117"
".Cayuga County, New York","80,026","80,008","79,895","79,693","79,505","79,088","78,762","78,298","77,674","77,457","77,121","76,576"
".Chautauqua County, New York","134,905","134,907","134,725","134,209","133,304","132,852","131,751","130,529","129,206","128,372","127,472","126,903"
".Chemung County, New York","88,830","88,847","88,895","88,899","89,137","88,199","87,177","86,705","85,644","84,736","83,935","83,456"
".Chenango County, New York","50,477","50,511","50,399","50,182","49,883","49,477","49,319","48,772","48,315","47,805","47,445","47,207"
".Clinton County, New York","82,128","82,131","82,096","81,728","81,714","81,523","81,463","80,718","80,500","80,531","80,679","80,485"
".Columbia County, New York","63,096","63,066","63,036","62,528","62,449","62,170","61,942","61,434","60,835","60,338","59,785","59,461"
".Cortland County, New York","49,336","49,290","49,279","49,380","49,023","48,905","48,740","48,290","47,915","47,815","47,722","47,581"
".Delaware County, New York","47,980","47,962","47,888","47,584","47,215","46,803","46,562","45,891","45,393","45,028","44,526","44,135"
".Dutchess County, New York","297,488","297,454","297,728","298,133","297,023","296,268","295,127","294,039","293,029","293,545","293,939","294,218"
".Erie County, New York","919,040","919,134","919,152","919,843","919,906","920,869","921,755","920,644","918,678","919,034","919,717","918,702"
".Essex County, New York","39,370","39,373","39,360","39,271","38,875","38,601","38,323","37,965","37,671","37,487","37,288","36,885"
