location_id,location_county,location_state,location_name,population,density,employment_rate,wealth_rate
0500000US21093,Hardin County,Kentucky,"Hardin County, Kentucky",110356,rural,0.61,0.652
0500000US21151,Madison County,Kentucky,"Madison County, Kentucky",92368,rural,0.635,0.42800000000000005
0500000US17091,Kankakee County,Illinois,"Kankakee County, Illinois",110024,rural,0.599,0.537
0500000US17197,Will County,Illinois,"Will County, Illinois",692310,urban,0.6970000000000001,0.5939999999999999
0500000US01051,Elmore County,Alabama,"Elmore County, Alabama",81887,urban,0.5579999999999999,0.519
0500000US01055,Etowah County,Alabama,"Etowah County, Alabama",102501,rural,0.564,0.7240000000000001
0500000US01089,Madison County,Alabama,"Madison County, Alabama",366519,urban,0.633,0.6350000000000001
0500000US01117,Shelby County,Alabama,"Shelby County, Alabama",215707,urban,0.6409999999999999,0.38
0500000US06001,Alameda County,California,"Alameda County, California",1666753,urban,0.677,0.5539999999999999
0500000US06013,Contra Costa County,California,"Contra Costa County, California",1150215,urban,0.6579999999999999,0.685
0500000US06019,Fresno County,California,"Fresno County, California",994400,urban,0.609,0.562
0500000US06023,Humboldt County,California,"Humboldt County, California",136373,rural,0.631,0.477
0500000US06033,Lake County,California,"Lake County, California",64382,rural,,0.5609999999999999
0500000US06037,Los Angeles County,California,"Los Angeles County, California",10105518,urban,0.65,0.759
0500000US06047,Merced County,California,"Merced County, California",274765,urban,0.613,0.7040000000000001
0500000US06057,Nevada County,California,"Nevada County, California",99696,rural,0.5479999999999999,0.52
0500000US06081,San Mateo County,California,"San Mateo County, California",769545,urban,0.6920000000000001,0.675
0500000US06085,Santa Clara County,California,"Santa Clara County, California",1937570,urban,0.677,0.512
0500000US06115,Yuba County,California,"Yuba County, California",78041,rural,0.586,0.451
0500000US08013,Boulder County,Colorado,"Boulder County, Colorado",326078,urban,0.682,0.46299999999999997
0500000US08077,Mesa County,Colorado,"Mesa County, Colorado",153207,rural,0.604,0.502
0500000US09009,New Haven County,Connecticut,"New Haven County, Connecticut",857620,urban,0.649,0.523
0500000US11001,District of Columbia,District of Columbia,"District of Columbia, District of Columbia",702455,urban,0.7070000000000001,0.49800000000000005
0500000US12009,Brevard County,Florida,"Brevard County, Florida",596849,urban,0.542,0.518
0500000US12023,Columbia County,Florida,"Columbia County, Florida",70503,rural,0.528,0.524
0500000US12055,Highlands County,Florida,"Highlands County, Florida",105424,rural,0.434,0.44799999999999995
0500000US12073,Leon County,Florida,"Leon County, Florida",292502,urban,0.65,0.5429999999999999
0500000US12095,Orange County,Florida,"Orange County, Florida",1380645,urban,0.6629999999999999,0.40700000000000003
0500000US12107,Putnam County,Florida,"Putnam County, Florida",74163,rural,0.467,0.665
0500000US12127,Volusia County,Florida,"Volusia County, Florida",547538,urban,0.53,0.6
0500000US12131,Walton County,Florida,"Walton County, Florida",71375,rural,,0.501
0500000US13121,Fulton County,Georgia,"Fulton County, Georgia",1050114,urban,0.675,0.496
