location_name,wealth_status,employment_status,phoneownership_rate,worktravel_mean,socialtravel_mean,grocerytravel_mean,worktravel_std,socialtravel_std,grocerytravel_std
loc1,0,0,0.7,0,30,10,0.0,1.7,1.0
loc1,0,1,0.7,100,40,10,3.2,2.0,1.0
loc1,1,0,0.9,0,40,10,0.0,2.0,1.0
loc1,1,1,0.9,100,50,10,3.2,2.2,1.0
loc2,0,0,0.7,0,30,10,0.0,1.7,1.0
loc2,0,1,0.7,100,40,10,3.2,2.0,1.0
loc2,1,0,0.9,0,40,10,0.0,2.0,1.0
loc2,1,1,0.9,100,50,10,3.2,2.2,1.0
loc3,0,0,0.7,0,30,10,0.0,1.7,1.0
loc3,0,1,0.7,150,40,10,3.9,2.0,1.0
loc3,1,0,0.9,0,40,10,0.0,2.0,1.0
loc3,1,1,0.9,150,50,10,3.9,2.2,1.0
loc4,0,0,0.7,0,30,10,0.0,1.7,1.0
loc4,0,1,0.7,150,40,10,3.9,2.0,1.0
loc4,1,0,0.9,0,40,10,0.0,2.0,1.0
loc4,1,1,0.9,150,50,10,3.9,2.2,1.0
loc5,0,0,0.7,0,30,5,0.0,1.7,0.7
loc5,0,1,0.7,100,40,5,3.2,2.0,0.7
loc5,1,0,0.9,0,40,5,0.0,2.0,0.7
loc5,1,1,0.9,100,50,5,3.2,2.2,0.7
loc6,0,0,0.7,0,30,5,0.0,1.7,0.7
loc6,0,1,0.7,100,40,5,3.2,2.0,0.7
loc6,1,0,0.9,0,40,5,0.0,2.0,0.7
loc6,1,1,0.9,80,50,5,2.8,2.2,0.7
loc7,0,0,0.7,0,30,5,0.0,1.7,0.7
loc7,0,1,0.7,80,40,5,2.8,2.0,0.7
loc7,1,0,0.9,0,40,5,0.0,2.0,0.7
loc7,1,1,0.9,80,50,5,2.8,2.2,0.7
loc8,0,0,0.7,0,30,5,0.0,1.7,0.7
loc8,0,1,0.7,80,40,5,2.8,2.0,0.7
loc8,1,0,0.9,0,40,5,0.0,2.0,0.7
loc8,1,1,0.9,80,50,5,2.8,2.2,0.7
